id,stop_id,name,linia,stop_type,geometry
B-H8-1253,1253,Josep Tarradellas - Paris,H8,Bus,POINT (2.142975999 41.3864099989)
B-D40-1253,1253,Josep Tarradellas - Paris,D40,Bus,POINT (2.142975999 41.3864099989)
B-H8-1099,1099,Josep Tarradellas - Comte Borrell,H8,Bus,POINT (2.1442609961 41.391523996)
B-59-630,630,Av de Sarria - Josep Tarradellas,59,Bus,POINT (2.1448069962 41.390403001)
B-141-630,630,Av de Sarria - Josep Tarradellas,141,Bus,POINT (2.1448069962 41.390403001)
B-131-2888,2888,Putxet - Cadis,131,Bus,POINT (2.143974004 41.4064520016)
B-131-2884,2884,Ferran Puig - Jardins Turo del Putxet,131,Bus,POINT (2.1439769965 41.4100530034)
B-27-533,533,Av de Vallcarca - Gomis,27,Bus,POINT (2.144399998 41.4118819994)
B-27-478,478,Av Vallcarca - Hospital HM Delfos,27,Bus,POINT (2.1431189957 41.4140099999)
B-129-478,478,Av Vallcarca - Hospital HM Delfos,129,Bus,POINT (2.1431189957 41.4140099999)
B-112-1858,1858,Granja Vella - Pg  Vall d'Hebron,112,Bus,POINT (2.1440500001 41.4271500019)
B-V21-52,52,Metro Montbau - Hospital Vall d'Hebron,V21,Bus,POINT (2.1444969941 41.4301450037)
B-21-1781,1781,Estacio TIR - Ronda Litoral,21,Bus,POINT (2.1487759955 41.347014998)
B-109-1781,1781,Estacio TIR - Ronda Litoral,109,Bus,POINT (2.1487759955 41.347014998)
B-23-3837,3837,Jocs del 92 - Pedrera del Mussol,23,Bus,POINT (2.1470869945 41.3626440016)
B-V9-3590,3590,Viladomat - Corsega,V9,Bus,POINT (2.1475310029 41.3869719995)
B-6-168,168,Diagonal - Francesc Macia,6,Bus,POINT (2.1463550043 41.3931179971)
B-7-168,168,Diagonal - Francesc Macia,7,Bus,POINT (2.1463550043 41.3931179971)
B-33-168,168,Diagonal - Francesc Macia,33,Bus,POINT (2.1463550043 41.3931179971)
B-34-168,168,Diagonal - Francesc Macia,34,Bus,POINT (2.1463550043 41.3931179971)
B-H8-168,168,Diagonal - Francesc Macia,H8,Bus,POINT (2.1463550043 41.3931179971)
B-H6-1582,1582,Mitre - Padua,H6,Bus,POINT (2.1461530006 41.4058249964)
B-27-350,350,Av de Vallcarca - Baixada de la Gloria,27,Bus,POINT (2.1470099954 41.4103849994)
B-112-1857,1857,Granja Vella - Basses d'Horta,112,Bus,POINT (2.1449039943 41.4271339962)
B-185-1857,1857,Granja Vella - Basses d'Horta,185,Bus,POINT (2.1449039943 41.4271339962)
B-V17-1857,1857,Granja Vella - Basses d'Horta,V17,Bus,POINT (2.1449039943 41.4271339962)
B-135-3735,3735,Pl Mossen Ferran Palau,135,Bus,POINT (2.1451029991 41.4331080006)
B-107-422,422,Via Sant Antoni Abat,107,Bus,POINT (2.1509450048 41.3565610006)
B-107-694,694,Via Sant Antoni Abat - Via Santissima Trinitat,107,Bus,POINT (2.1513790013 41.3555570043)
B-13-393,393,Av Reina Maria Cristina - Pl Espanya,13,Bus,POINT (2.1501070016 41.3738209962)
B-109-3237,3237,Tarragona - Pl. Espanya,109,Bus,POINT (2.1487444108 41.3759452227)
B-V7-3237,3237,Tarragona - Pl. Espanya,V7,Bus,POINT (2.1487444108 41.3759452227)
B-109-207,207,Mallorca - Viladomat,109,Bus,POINT (2.150058006 41.3844970012)
B-H10-207,207,Mallorca - Viladomat,H10,Bus,POINT (2.150058006 41.3844970012)
B-109-2345,2345,Valencia - Viladomat,109,Bus,POINT (2.1513029978 41.3835760032)
B-H10-2345,2345,Valencia - Viladomat,H10,Bus,POINT (2.1513029978 41.3835760032)
B-V13-1386,1386,Aribau - Diagonal,V13,Bus,POINT (2.1503949995 41.3952080032)
B-27-1123,1123,Av Riera de Cassoles - Carolines,27,Bus,POINT (2.1500810045 41.4036379972)
B-D40-1123,1123,Av Riera de Cassoles - Carolines,D40,Bus,POINT (2.1500810045 41.4036379972)
