id,stop_id,name,linia,stop_type,geometry
SB-182,182,Pg de Gràcia - Consell de Cent,IU Stop,Bus,POINT (2.1654300031081006 41.39161500244255)
SB-183,183,Gran Via - Ildefons Cerdà,IU Stop,Bus,POINT (2.136560005549156 41.365825999607644)
SB-187,187,Escorial - Clínica Nostra Senyora del Remei,IU Stop,Bus,POINT (2.1590310009630698 41.40980399586584)
SB-189,189,Via Favència - Trinitat Nova,IU Stop,Bus,POINT (2.1842139951240584 41.44682499574868)
SB-191,191,Bac de Roda - Cristóbal de Moura,IU Stop,Bus,POINT (2.203268995755724 41.40815199631737)
SB-193,193,Rambla Prim - Cristóbal de Moura,IU Stop,Bus,POINT (2.2124399988928047 41.41615600119529)
SB-195,195,Can Caralleu,IU Stop,Bus,POINT (2.111630002891496 41.40196900279586)
SB-198,198,Camí de Can Caralleu - Ronda de Dalt,IU Stop,Bus,POINT (2.1143630020773196 41.40183699943648)
SB-199,199,Pg Zona Franca - Cisell,IU Stop,Bus,POINT (2.1429759985374326 41.35439599976107)
SB-200,200,Pg Zona Franca - Motors,IU Stop,Bus,POINT (2.145338998129743 41.351695002812086)
SB-204,204,Floridablanca - Av Mistral,IU Stop,Bus,POINT (2.156056005428932 41.37657700065967)
SB-205,205,Calàbria - Floridablanca,IU Stop,Bus,POINT (2.1570880016038148 41.37821099911567)
SB-206,206,Gran Via - Calàbria,IU Stop,Bus,POINT (2.1555120045282536 41.38011999977864)
SB-207,207,Mallorca - Viladomat,IU Stop,Bus,POINT (2.1500580059512746 41.384497001170175)
SB-208,208,París - Viladomat,IU Stop,Bus,POINT (2.1454930016501224 41.387721997938534)
SB-209,209,Paral·lel - Marquès de Campo Sagrado,IU Stop,Bus,POINT (2.1637200040836833 41.375096000721726)
SB-211,211,Via Laietana - Comtal,IU Stop,Bus,POINT (2.174463001930526 41.38709200253734)
SB-212,212,Indústria - Independència,IU Stop,Bus,POINT (2.1784749999664554 41.41260699677004)
SB-213,213,Pg de Sant Joan - Còrsega,IU Stop,Bus,POINT (2.165947629935785 41.4024280399149)
SB-214,214,Casanova - Hospital Clínic,IU Stop,Bus,POINT (2.152571002234539 41.39043899771348)
SB-216,216,Padilla - Provença,IU Stop,Bus,POINT (2.1762244094290444 41.40649654928444)
SB-217,217,Josep Tarradellas - Rosselló,IU Stop,Bus,POINT (2.142700996420627 41.382887996901545)
SB-218,218,Torrent de l'Olla - Penedès,IU Stop,Bus,POINT (2.1587270035470096 41.40091500321957)
SB-219,219,Torrent de l'Olla - Còrsega,IU Stop,Bus,POINT (2.160995003417366 41.398687996726466)
SB-220,220,Independència - Freser,IU Stop,Bus,POINT (2.179502998066063 41.41080900025288)
SB-221,221,Balmes - Rosselló,IU Stop,Bus,POINT (2.1568830035766244 41.39356000371346)
SB-222,222,Aribau - Còrsega,IU Stop,Bus,POINT (2.1543190048548486 41.39224899870528)
SB-224,224,Dos de Maig - Indústria,IU Stop,Bus,POINT (2.1769390045206656 41.410830004230284)
SB-226,226,Pau Claris - Gran Via,IU Stop,Bus,POINT (2.1693740045466305 41.390946000440834)
SB-227,227,Marina - Ausiàs Marc,IU Stop,Bus,POINT (2.1843228492803943 41.39690290981445)
SB-230,230,Llúria - Urquinaona,IU Stop,Bus,POINT (2.1728369996082826 41.39018699711523)
SB-231,231,Ronda Guineueta Vella - Antonio Machado,IU Stop,Bus,POINT (2.1620560021833697 41.44153699903565)
SB-232,232,Pl Karl Marx - Pg Vall d'Hebron,IU Stop,Bus,POINT (2.1617210038494017 41.440676997446936)
SB-233,233,Sant Antoni Maria Claret - Independència,IU Stop,Bus,POINT (2.176982002458418 41.41325699749608)
SB-234,234,Mallorca - Dos de Maig,IU Stop,Bus,POINT (2.180416997838099 41.40731100157042)
SB-236,236,Aragó - Enamorats,IU Stop,Bus,POINT (2.1829550054294886 41.405833999623475)
SB-237,237,Diagonal - Pl Reina Maria Cristina,IU Stop,Bus,POINT (2.1274302594852137 41.38848222996782)
SB-238,238,Sinaí,IU Stop,Bus,POINT (2.138359005336534 41.42484800226422)
SB-239,239,Manuel Girona - Carles III,IU Stop,Bus,POINT (2.128123000169094 41.39212699946447)
SB-241,241,Arquitectura - Àngel Marquès,IU Stop,Bus,POINT (2.1411860049993883 41.429314997242926)
SB-243,243,Av Gaudí - Castillejos,IU Stop,Bus,POINT (2.1734800005739268 41.41061999558079)
SB-244,244,València - Padilla,IU Stop,Bus,POINT (2.1794030040791723 41.40468800050055)
SB-245,245,Pl de la Font Castellana,IU Stop,Bus,POINT (2.1668819966814685 41.41516400138154)
