id,stop_id,name,linia,stop_type,geometry
SB-371,371,Pg Maragall - Sabastida,IU Stop,Bus,POINT (2.1684629984516666 41.427478995797216)
SB-373,373,Diagonal - Entença,IU Stop,Bus,POINT (2.1364049960852523 41.39034000359323)
SB-375,375,Josep Tarradellas - Av. Sarrià,IU Stop,Bus,POINT (2.143135994141172 41.38950699668602)
SB-376,376,Les Corts - Pl Dr Ignasi Barraquer,IU Stop,Bus,POINT (2.1406340057522226 41.390114997960254)
SB-377,377,Paral·lel - Rocafort,IU Stop,Bus,POINT (2.159400005666472 41.3751080030625)
SB-381,381,Clot - Biscaia,IU Stop,Bus,POINT (2.1906309997182007 41.41398799689234)
SB-382,382,Pujades - Espronceda,IU Stop,Bus,POINT (2.205948094456184 41.40571079692167)
SB-387,387,Mallorca - Clot,IU Stop,Bus,POINT (2.1905140023160152 41.414916997360734)
SB-391,391,Metro Hostafrancs,IU Stop,Bus,POINT (2.1448949966384885 41.37515300378189)
SB-392,392,Creu Coberta - Pl Espanya,IU Stop,Bus,POINT (2.1468540030176704 41.37512000315223)
SB-394,394,Tarragona - Pl. Espanya,IU Stop,Bus,POINT (2.1486924072347047 41.37566421941635)
SB-396,396,Berlín - Nicaragua,IU Stop,Bus,POINT (2.1407930053722573 41.38412999763276)
SB-397,397,Josep Tarradellas - Entença,IU Stop,Bus,POINT (2.142476997755231 41.386403002408144)
SB-398,398,Guipúscoa - Julián Besteiro,IU Stop,Bus,POINT (2.1975699950856686 41.416480997000996)
SB-402,402,Dante Alighieri - Santa Joana d'Arc,IU Stop,Bus,POINT (2.1601009999599228 41.42845399969366)
SB-406,406,Pg Valldaura - Rambla Caçador,IU Stop,Bus,POINT (2.173478997594824 41.43862999996457)
SB-409,409,Sagrera - Parc de la Pegaso,IU Stop,Bus,POINT (2.190916003287306 41.426316997843095)
SB-412,412,Carles III - Les Corts,IU Stop,Bus,POINT (2.128008003456732 41.38183299831759)
SB-421,421,Gran Via - Farell,IU Stop,Bus,POINT (2.144950001049232 41.37199299655576)
SB-428,428,Pg Valldaura - Fabra i Puig,IU Stop,Bus,POINT (2.1657599952692315 41.43919800170623)
SB-430,430,Parc Turó de la Peira,IU Stop,Bus,POINT (2.163192997802744 41.43357599566879)
SB-431,431,Meridiana - Dublín,IU Stop,Bus,POINT (2.1851500005024813 41.42745100063479)
SB-432,432,Meridiana - Parc de Can Dragó,IU Stop,Bus,POINT (2.183797998468321 41.4356299960351)
SB-435,435,Arenys - Rossell,IU Stop,Bus,POINT (2.1454770033287818 41.42275999577186)
SB-436,436,Arenys - Fastenrath,IU Stop,Bus,POINT (2.1430059981417946 41.42204799688772)
SB-437,437,Pl del Nen de la Rutlla,IU Stop,Bus,POINT (2.1719430017816057 41.41858000444061)
SB-440,440,Via Júlia - Sant Francesc Xavier,IU Stop,Bus,POINT (2.177584994323826 41.44159500299127)
SB-447,447,Av Mare de Déu de Montserrat - França,IU Stop,Bus,POINT (2.164890994793352 41.41482999974886)
SB-449,449,Pg Zona Franca - Ctra del Prat,IU Stop,Bus,POINT (2.1374500009631747 41.362070000839886)
SB-450,450,Pg Zona Franca - Foneria,IU Stop,Bus,POINT (2.139622001455555 41.35957300313494)
