,origen,dest,tram,linia,type,geometry,length,speed,time,directed
26,B-D20-9637,B-D20-1259,Collblanc - Collblanc - Cardenal Reig,D20,Bus,"LINESTRING (2.119369353143185 41.376746078339565, 2.11797041 41.375905730000014, 2.11784876 41.375847819999976, 2.117781390000001 41.37582846, 2.11764186 41.37581064, 2.1171189099999994 41.375835640000005, 2.1147086600000002 41.37588551000001, 2.114638411689354 41.375886223910705)",430.87248017561393,3.333333333333333,2.1543624008780697,True
27,B-D20-1259,B-D20-1649,Collblanc - Cardenal Reig - Camí de la Torre Melina - Av. de Xile,D20,Bus,"LINESTRING (2.114638411689354 41.375886223910705, 2.11257742 41.37590714999999, 2.11249828 41.375938709999986, 2.11243182 41.375990149999986, 2.1123972800000006 41.37602836, 2.1121860692950643 41.37632662869841)",230.4925019227446,3.333333333333333,1.152462509613723,True
28,B-D20-1649,B-D20-3286,Camí de la Torre Melina - Av. de Xile - Ernest Lluch,D20,Bus,"LINESTRING (2.1121860692950643 41.37632662869841, 2.11149142 41.37730757999999, 2.1114390299999997 41.37735832, 2.1113775599999998 41.377383220000006, 2.11114095 41.37738353, 2.1110488600000004 41.37735885000001, 2.1109788600000003 41.37732027, 2.11091625 41.37725671999999, 2.1108990600000004 41.377207200000015, 2.1109060399999997 41.37712168, 2.11094615 41.377051820000005, 2.1109900000000006 41.37700865, 2.1110860000000002 41.37696218, 2.11115855 41.37694369999999, 2.11128741 41.37696052999997, 2.111431880000001 41.37700348, 2.11150149 41.37701474999999, 2.11158118 41.37701092, 2.11161958 41.37699896, 2.1116542299999996 41.37697797, 2.1121954984597635 41.37623184483283)",364.18421211822914,3.333333333333333,1.820921060591146,True
29,B-D20-2984,B-D20-778,Cardenal Reig - Pisuerga - Av Sant Ramon Nonat - Cardenal Reig,D20,Bus,"LINESTRING (2.1147437106584217 41.377209684113076, 2.1161174700000003 41.37789824000001, 2.11618726 41.37790997, 2.1162553600000003 41.37789352000001, 2.11629342 41.37786571000001, 2.116370500000001 41.37768217, 2.1164859608504707 41.377445042120684)",203.80067586724647,3.333333333333333,1.0190033793362325,True
30,B-D20-778,B-D20-3473,Av Sant Ramon Nonat - Cardenal Reig - Metro Collblanc,D20,Bus,"LINESTRING (2.1164859608504707 41.377445042120684, 2.11722509 41.37592701000001, 2.117288960000001 41.37584309, 2.11735979 41.37578285000001, 2.1174517800000014 41.37574286, 2.11750654 41.37573592, 2.118510501114786 41.375719182567856)",296.69447128998826,3.333333333333333,1.4834723564499415,True
31,B-D20-3473,B-D20-1755,Metro Collblanc - Sants - Munné,D20,Bus,"LINESTRING (2.118510501114786 41.375719182567856, 2.1189303800000006 41.37571217999999, 2.1228738794642097 41.37563011438087)",365.03401134372854,3.333333333333333,1.8251700567186429,True
32,B-D20-1755,B-D20-1766,Sants - Munné - Metro Badal,D20,Bus,"LINESTRING (2.1228738794642097 41.37563011438087, 2.12551337 41.37557511, 2.12788921 41.375535, 2.127963397990117 41.375533281533016)",425.76265794829607,3.333333333333333,2.1288132897414807,True
33,B-D20-1766,B-D20-707,Metro Badal - Sants - Badal,D20,Bus,"LINESTRING (2.127963397990117 41.375533281533016, 2.1301914199999996 41.375481650000005, 2.131881042386288 41.37545416568574)",327.74540965491644,3.333333333333333,1.6387270482745824,True
34,B-D20-707,B-D20-708,Sants - Badal - Pl de Sants,D20,Bus,"LINESTRING (2.131881042386288 41.37545416568574, 2.13188938 41.37545403, 2.134318242826736 41.37539938880239)",203.90874958031023,3.333333333333333,1.0195437479015512,True
35,B-D20-708,B-D20-584,Pl de Sants - Metro Pl de Sants,D20,Bus,"LINESTRING (2.134318242826736 41.37539938880239, 2.136811235545916 41.37534325146362)",208.57704840480974,3.333333333333333,1.0428852420240489,True
36,B-D20-584,B-D20-179,Metro Pl de Sants - Sants - Gayarre,D20,Bus,"LINESTRING (2.136811235545916 41.37534325146362, 2.13819981 41.37531195999999, 2.139662907577144 41.37528370547726)",238.5718112973875,3.333333333333333,1.1928590564869377,True
37,B-D20-179,B-D20-391,Sants - Gayarre - Metro Hostafrancs,D20,Bus,"LINESTRING (2.139662907577144 41.37528370547726, 2.1448960030854742 41.37518249433812)",437.7778566222831,3.333333333333333,2.1888892831114157,True
38,B-D20-391,B-D20-392,Metro Hostafrancs - Creu Coberta - Pl Espanya,D20,Bus,"LINESTRING (2.1448960030854742 41.37518249433812, 2.1448972599999996 41.375182470000006, 2.14558091 41.37516419000001, 2.1468546722979025 41.37514424075693)",163.85886736439247,3.333333333333333,0.8192943368219624,True
39,B-D20-392,B-D20-3935,Creu Coberta - Pl Espanya - Paral·lel - Pl Espanya,D20,Bus,"LINESTRING (2.1468546722979025 41.37514424075693, 2.14701875 41.37514167, 2.1479924400000003 41.37511368, 2.148208140000001 41.37505945999999, 2.14841011 41.374978169999984, 2.14849827 41.37490991000001, 2.148563450000001 41.3748234, 2.1486164700000003 41.374728770000004, 2.1486834100000003 41.37466407000001, 2.14875037 41.374623, 2.1488454900000002 41.37458043, 2.14896762 41.37453891, 2.1490154000000006 41.37453450999998, 2.14912561 41.37454466, 2.14927979 41.37458607, 2.14945917 41.37466392, 2.1497908500000005 41.37482639, 2.149933659999999 41.37487561, 2.15004045 41.37489968, 2.1501471900000007 41.37491200000001, 2.15048935 41.37493687000001, 2.1509566121948005 41.37493487857685)",379.8965571610165,3.333333333333333,1.899482785805083,True
40,B-D20-3935,B-D20-1367,Paral·lel - Pl Espanya - Paral·lel - Tamarit,D20,Bus,"LINESTRING (2.1509566121948005 41.37493487857685, 2.154384790000001 41.37492021, 2.155468033751029 41.37491960081932)",377.28724979603436,3.333333333333333,1.886436248980172,True
41,B-D20-1367,B-D20-1620,Paral·lel - Tamarit - Metro Poble Sec,D20,Bus,"LINESTRING (2.155468033751029 41.37491960081932, 2.159895038273204 41.37491700521517)",370.2228579918936,3.333333333333333,1.8511142899594681,True
42,B-D20-1620,B-D20-770,Metro Poble Sec - Paral·lel - Margarit,D20,Bus,"LINESTRING (2.159895038273204 41.37491700521517, 2.16088742 41.3749164, 2.1616170200000013 41.37490240000001, 2.1638348 41.37489103, 2.164506014716676 41.37489079569806)",385.6319669130855,3.333333333333333,1.9281598345654276,True
43,B-D20-770,B-D20-1061,Paral·lel - Margarit - Paral·lel - Vila i Vilà,D20,Bus,"LINESTRING (2.164506014716676 41.37489079569806, 2.1670410131415476 41.37488987548382)",211.99740992857838,3.333333333333333,1.059987049642892,True
44,B-D20-1061,B-D20-722,Paral·lel - Vila i Vilà - Paral·lel - Cabanes,D20,Bus,"LINESTRING (2.1670410131415476 41.37488987548382, 2.16724236 41.3748898, 2.16923799 41.37488305, 2.1699889200000007 41.37487359, 2.170639242107746 41.37482964653083)",301.14223362604884,3.333333333333333,1.5057111681302442,True
