origen,dest,tram,mode,lines,type,time,directed,geometry
B-H6-21,B-113-21,Palau Reial - Palau Reial,Bus - Bus,H6 - 113,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-M14-21,B-113-21,Palau Reial - Palau Reial,Bus - Bus,M14 - 113,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-175-21,B-113-21,Palau Reial - Palau Reial,Bus - Bus,175 - 113,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
SB-21,B-H6-21,Palau Reial - Palau Reial,Bus - Bus,IU Stop - H6,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-7-21,B-H6-21,Palau Reial - Palau Reial,Bus - Bus,7 - H6,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-33-21,B-H6-21,Palau Reial - Palau Reial,Bus - Bus,33 - H6,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-67-21,B-H6-21,Palau Reial - Palau Reial,Bus - Bus,67 - H6,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-113-21,B-H6-21,Palau Reial - Palau Reial,Bus - Bus,113 - H6,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-M14-21,B-H6-21,Palau Reial - Palau Reial,Bus - Bus,M14 - H6,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-175-21,B-H6-21,Palau Reial - Palau Reial,Bus - Bus,175 - H6,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
SB-21,B-M14-21,Palau Reial - Palau Reial,Bus - Bus,IU Stop - M14,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-7-21,B-M14-21,Palau Reial - Palau Reial,Bus - Bus,7 - M14,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-33-21,B-M14-21,Palau Reial - Palau Reial,Bus - Bus,33 - M14,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-67-21,B-M14-21,Palau Reial - Palau Reial,Bus - Bus,67 - M14,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-113-21,B-M14-21,Palau Reial - Palau Reial,Bus - Bus,113 - M14,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-H6-21,B-M14-21,Palau Reial - Palau Reial,Bus - Bus,H6 - M14,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-175-21,B-M14-21,Palau Reial - Palau Reial,Bus - Bus,175 - M14,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
SB-21,B-175-21,Palau Reial - Palau Reial,Bus - Bus,IU Stop - 175,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-7-21,B-175-21,Palau Reial - Palau Reial,Bus - Bus,7 - 175,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-33-21,B-175-21,Palau Reial - Palau Reial,Bus - Bus,33 - 175,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-67-21,B-175-21,Palau Reial - Palau Reial,Bus - Bus,67 - 175,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-113-21,B-175-21,Palau Reial - Palau Reial,Bus - Bus,113 - 175,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-H6-21,B-175-21,Palau Reial - Palau Reial,Bus - Bus,H6 - 175,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-M14-21,B-175-21,Palau Reial - Palau Reial,Bus - Bus,M14 - 175,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
SB-22,B-22-22,Av República Argentina - Vallcarca - Av República Argentina - Vallcarca,Bus - Bus,IU Stop - 22,Exchange - Self,01:00,True,POINT (2.14397300571118 41.4113650013362)
B-87-22,B-22-22,Av República Argentina - Vallcarca - Av República Argentina - Vallcarca,Bus - Bus,87 - 22,Exchange - Self,01:00,True,POINT (2.14397300571118 41.4113650013362)
B-V17-22,B-22-22,Av República Argentina - Vallcarca - Av República Argentina - Vallcarca,Bus - Bus,V17 - 22,Exchange - Self,01:00,True,POINT (2.14397300571118 41.4113650013362)
SB-22,B-87-22,Av República Argentina - Vallcarca - Av República Argentina - Vallcarca,Bus - Bus,IU Stop - 87,Exchange - Self,01:00,True,POINT (2.14397300571118 41.4113650013362)
B-22-22,B-87-22,Av República Argentina - Vallcarca - Av República Argentina - Vallcarca,Bus - Bus,22 - 87,Exchange - Self,01:00,True,POINT (2.14397300571118 41.4113650013362)
B-V17-22,B-87-22,Av República Argentina - Vallcarca - Av República Argentina - Vallcarca,Bus - Bus,V17 - 87,Exchange - Self,01:00,True,POINT (2.14397300571118 41.4113650013362)
SB-22,B-V17-22,Av República Argentina - Vallcarca - Av República Argentina - Vallcarca,Bus - Bus,IU Stop - V17,Exchange - Self,01:00,True,POINT (2.14397300571118 41.4113650013362)
B-22-22,B-V17-22,Av República Argentina - Vallcarca - Av República Argentina - Vallcarca,Bus - Bus,22 - V17,Exchange - Self,01:00,True,POINT (2.14397300571118 41.4113650013362)
B-87-22,B-V17-22,Av República Argentina - Vallcarca - Av República Argentina - Vallcarca,Bus - Bus,87 - V17,Exchange - Self,01:00,True,POINT (2.14397300571118 41.4113650013362)
SB-24,B-27-24,Ronda Guineueta Vella - Barri Canyelles - Ronda Guineueta Vella - Barri Canyelles,Bus - Bus,IU Stop - 27,Exchange - Self,01:00,True,POINT (2.165218994958609 41.44432500392026)
B-47-24,B-27-24,Ronda Guineueta Vella - Barri Canyelles - Ronda Guineueta Vella - Barri Canyelles,Bus - Bus,47 - 27,Exchange - Self,01:00,True,POINT (2.165218994958609 41.44432500392026)
B-V27-24,B-27-24,Ronda Guineueta Vella - Barri Canyelles - Ronda Guineueta Vella - Barri Canyelles,Bus - Bus,V27 - 27,Exchange - Self,01:00,True,POINT (2.165218994958609 41.44432500392026)
SB-24,B-47-24,Ronda Guineueta Vella - Barri Canyelles - Ronda Guineueta Vella - Barri Canyelles,Bus - Bus,IU Stop - 47,Exchange - Self,01:00,True,POINT (2.165218994958609 41.44432500392026)
B-27-24,B-47-24,Ronda Guineueta Vella - Barri Canyelles - Ronda Guineueta Vella - Barri Canyelles,Bus - Bus,27 - 47,Exchange - Self,01:00,True,POINT (2.165218994958609 41.44432500392026)
B-V27-24,B-47-24,Ronda Guineueta Vella - Barri Canyelles - Ronda Guineueta Vella - Barri Canyelles,Bus - Bus,V27 - 47,Exchange - Self,01:00,True,POINT (2.165218994958609 41.44432500392026)
SB-24,B-V27-24,Ronda Guineueta Vella - Barri Canyelles - Ronda Guineueta Vella - Barri Canyelles,Bus - Bus,IU Stop - V27,Exchange - Self,01:00,True,POINT (2.165218994958609 41.44432500392026)
B-27-24,B-V27-24,Ronda Guineueta Vella - Barri Canyelles - Ronda Guineueta Vella - Barri Canyelles,Bus - Bus,27 - V27,Exchange - Self,01:00,True,POINT (2.165218994958609 41.44432500392026)
B-47-24,B-V27-24,Ronda Guineueta Vella - Barri Canyelles - Ronda Guineueta Vella - Barri Canyelles,Bus - Bus,47 - V27,Exchange - Self,01:00,True,POINT (2.165218994958609 41.44432500392026)
SB-25,B-27-25,Ronda Guineueta Vella - Escola Deià - Ronda Guineueta Vella - Escola Deià,Bus - Bus,IU Stop - 27,Exchange - Self,01:00,True,POINT (2.1677870058146613 41.444835001400655)
B-47-25,B-27-25,Ronda Guineueta Vella - Escola Deià - Ronda Guineueta Vella - Escola Deià,Bus - Bus,47 - 27,Exchange - Self,01:00,True,POINT (2.1677870058146613 41.444835001400655)
B-V27-25,B-27-25,Ronda Guineueta Vella - Escola Deià - Ronda Guineueta Vella - Escola Deià,Bus - Bus,V27 - 27,Exchange - Self,01:00,True,POINT (2.1677870058146613 41.444835001400655)
SB-25,B-47-25,Ronda Guineueta Vella - Escola Deià - Ronda Guineueta Vella - Escola Deià,Bus - Bus,IU Stop - 47,Exchange - Self,01:00,True,POINT (2.1677870058146613 41.444835001400655)
B-27-25,B-47-25,Ronda Guineueta Vella - Escola Deià - Ronda Guineueta Vella - Escola Deià,Bus - Bus,27 - 47,Exchange - Self,01:00,True,POINT (2.1677870058146613 41.444835001400655)
B-V27-25,B-47-25,Ronda Guineueta Vella - Escola Deià - Ronda Guineueta Vella - Escola Deià,Bus - Bus,V27 - 47,Exchange - Self,01:00,True,POINT (2.1677870058146613 41.444835001400655)
SB-25,B-V27-25,Ronda Guineueta Vella - Escola Deià - Ronda Guineueta Vella - Escola Deià,Bus - Bus,IU Stop - V27,Exchange - Self,01:00,True,POINT (2.1677870058146613 41.444835001400655)
B-27-25,B-V27-25,Ronda Guineueta Vella - Escola Deià - Ronda Guineueta Vella - Escola Deià,Bus - Bus,27 - V27,Exchange - Self,01:00,True,POINT (2.1677870058146613 41.444835001400655)
B-47-25,B-V27-25,Ronda Guineueta Vella - Escola Deià - Ronda Guineueta Vella - Escola Deià,Bus - Bus,47 - V27,Exchange - Self,01:00,True,POINT (2.1677870058146613 41.444835001400655)
SB-27,B-V21-27,Metro Marina - Metro Marina,Bus - Bus,IU Stop - V21,Exchange - Self,01:00,True,POINT (2.18760533049506 41.39442794991222)
SB-28,B-112-28,Hospital Vall d'Hebron - Hospital Vall d'Hebron,Bus - Bus,IU Stop - 112,Exchange - Self,01:00,True,POINT (2.1429920031165883 41.4268919977002)
B-119-28,B-112-28,Hospital Vall d'Hebron - Hospital Vall d'Hebron,Bus - Bus,119 - 112,Exchange - Self,01:00,True,POINT (2.1429920031165883 41.4268919977002)
B-185-28,B-112-28,Hospital Vall d'Hebron - Hospital Vall d'Hebron,Bus - Bus,185 - 112,Exchange - Self,01:00,True,POINT (2.1429920031165883 41.4268919977002)
B-V17-28,B-112-28,Hospital Vall d'Hebron - Hospital Vall d'Hebron,Bus - Bus,V17 - 112,Exchange - Self,01:00,True,POINT (2.1429920031165883 41.4268919977002)
SB-28,B-119-28,Hospital Vall d'Hebron - Hospital Vall d'Hebron,Bus - Bus,IU Stop - 119,Exchange - Self,01:00,True,POINT (2.1429920031165883 41.4268919977002)
B-112-28,B-119-28,Hospital Vall d'Hebron - Hospital Vall d'Hebron,Bus - Bus,112 - 119,Exchange - Self,01:00,True,POINT (2.1429920031165883 41.4268919977002)
B-185-28,B-119-28,Hospital Vall d'Hebron - Hospital Vall d'Hebron,Bus - Bus,185 - 119,Exchange - Self,01:00,True,POINT (2.1429920031165883 41.4268919977002)
B-V17-28,B-119-28,Hospital Vall d'Hebron - Hospital Vall d'Hebron,Bus - Bus,V17 - 119,Exchange - Self,01:00,True,POINT (2.1429920031165883 41.4268919977002)
SB-28,B-185-28,Hospital Vall d'Hebron - Hospital Vall d'Hebron,Bus - Bus,IU Stop - 185,Exchange - Self,01:00,True,POINT (2.1429920031165883 41.4268919977002)
B-112-28,B-185-28,Hospital Vall d'Hebron - Hospital Vall d'Hebron,Bus - Bus,112 - 185,Exchange - Self,01:00,True,POINT (2.1429920031165883 41.4268919977002)
B-119-28,B-185-28,Hospital Vall d'Hebron - Hospital Vall d'Hebron,Bus - Bus,119 - 185,Exchange - Self,01:00,True,POINT (2.1429920031165883 41.4268919977002)
B-V17-28,B-185-28,Hospital Vall d'Hebron - Hospital Vall d'Hebron,Bus - Bus,V17 - 185,Exchange - Self,01:00,True,POINT (2.1429920031165883 41.4268919977002)
SB-28,B-V17-28,Hospital Vall d'Hebron - Hospital Vall d'Hebron,Bus - Bus,IU Stop - V17,Exchange - Self,01:00,True,POINT (2.1429920031165883 41.4268919977002)
B-112-28,B-V17-28,Hospital Vall d'Hebron - Hospital Vall d'Hebron,Bus - Bus,112 - V17,Exchange - Self,01:00,True,POINT (2.1429920031165883 41.4268919977002)
B-119-28,B-V17-28,Hospital Vall d'Hebron - Hospital Vall d'Hebron,Bus - Bus,119 - V17,Exchange - Self,01:00,True,POINT (2.1429920031165883 41.4268919977002)
B-185-28,B-V17-28,Hospital Vall d'Hebron - Hospital Vall d'Hebron,Bus - Bus,185 - V17,Exchange - Self,01:00,True,POINT (2.1429920031165883 41.4268919977002)
SB-29,B-76-29,Sant Genís dels Agudells - Natzaret - Sant Genís dels Agudells - Natzaret,Bus - Bus,IU Stop - 76,Exchange - Self,01:00,True,POINT (2.138050002578791 41.4291970016704)
SB-30,B-19-30,Sant Genís dels Agudells - Sant Genís dels Agudells,Bus - Bus,IU Stop - 19,Exchange - Self,01:00,True,POINT (2.1381450003053604 41.42942999716765)
SB-31,B-B25-31,Llull - Àlaba - Llull - Àlaba,Bus - Bus,IU Stop - B25,Exchange - Self,01:00,True,POINT (2.1955200031368363 41.39601999691652)
B-B20-31,B-B25-31,Llull - Àlaba - Llull - Àlaba,Bus - Bus,B20 - B25,Exchange - Self,01:00,True,POINT (2.1955200031368363 41.39601999691652)
B-136-31,B-B25-31,Llull - Àlaba - Llull - Àlaba,Bus - Bus,136 - B25,Exchange - Self,01:00,True,POINT (2.1955200031368363 41.39601999691652)
SB-31,B-B20-31,Llull - Àlaba - Llull - Àlaba,Bus - Bus,IU Stop - B20,Exchange - Self,01:00,True,POINT (2.1955200031368363 41.39601999691652)
