origen,dest,tram,linia,type,length,speed,time,directed,geometry
M-L1-131,M-L1-132,Clot - Navas,L1,Metro,668.7627307234696,6.944444444444445,01:36,False,"MULTILINESTRING ((2.18700271 41.41016343, 2.18701512 41.41267829000001, 2.1870198599999995 41.41293770000001, 2.18703826 41.413411319999994, 2.18704429 41.41371391, 2.1870482200000003 41.41470085, 2.18705283 41.41492934, 2.1870553600000004 41.41519881000001, 2.1870547000000005 41.41567213999999, 2.18705678 41.416186710000005))"
M-L1-132,M-L1-133,Navas - La Sagrera,L1,Metro,686.4169600966966,6.944444444444445,01:38,False,"MULTILINESTRING ((2.18705678 41.416186710000005, 2.1870595300000004 41.41695871999999, 2.1870556600000004 41.41708451, 2.18704078 41.41739495000001, 2.18703567 41.41768527, 2.1870407000000003 41.41942922999999, 2.18702655 41.41979348, 2.18700826 41.42006047, 2.18699939 41.42022631999999, 2.18699109 41.420524539999995, 2.18699001 41.421189819999995, 2.18697272 41.421626829999994, 2.18697533 41.42236813999999))"
M-L1-133,M-L1-134,La Sagrera - Fabra i Puig,L1,Metro,863.4649060593835,6.944444444444445,02:04,False,"MULTILINESTRING ((2.18697533 41.42236813999999, 2.18697891 41.42322536, 2.1869712000000003 41.42332598, 2.1869424900000003 41.423527619999994, 2.18691939 41.42364340999998, 2.18687192 41.423845920000005, 2.1868082400000004 41.424078129999984, 2.18672324 41.42437232, 2.18668651 41.424493049999995, 2.18664666 41.424614309999995, 2.18661144 41.42471417, 2.1865403200000006 41.42489585999999, 2.1864704 41.42505596, 2.18641234 41.42517677000001, 2.18631105 41.425368079999984, 2.18621622 41.42552914999999, 2.1861175700000004 41.42568430999999, 2.18521206 41.4270485, 2.1845150800000006 41.42810209, 2.18433376 41.42838729, 2.18428007 41.42848057, 2.1842440100000005 41.42855286000001, 2.1842047600000005 41.428625610000005, 2.1841083100000005 41.428822569999994, 2.18404193 41.42895095, 2.18396589 41.42908257999999, 2.1838615200000002 41.42925384, 2.1837799200000005 41.42939356999999, 2.1836971700000007 41.42955055, 2.18366143 41.429632600000005))"
M-L1-134,M-L1-135,Fabra i Puig - Sant Andreu,L1,Metro,1153.1763837189335,6.944444444444445,02:46,False,"MULTILINESTRING ((2.18366143 41.429632600000005, 2.1836080800000004 41.4297551, 2.183581160000001 41.4298275, 2.1835162500000003 41.43002387, 2.1834739300000003 41.430182079999994, 2.1834422299999994 41.43032825, 2.18342745 41.430410349999995, 2.18341911 41.430486020000004, 2.1834105 41.43059743, 2.1834065799999998 41.430684959999994, 2.18340934 41.430832219999985, 2.18342786 41.43103481, 2.18346716 41.431241369999995, 2.18349649 41.43134717, 2.18357176 41.431568109999986, 2.18359832 41.43163697, 2.18364815 41.43175164, 2.1836655900000004 41.43178686, 2.1837408000000003 41.431921119999984, 2.1838407900000005 41.43206418999999, 2.18393377 41.43217503, 2.18406851 41.4323184, 2.18423437 41.43247129, 2.18432475 41.432547299999996, 2.1844359299999994 41.432634469999996, 2.18459633 41.43274197, 2.18471477 41.432812199999994, 2.1848714 41.43289033000001, 2.1850037400000004 41.43294361, 2.1851102900000003 41.43298123999999, 2.18534999 41.433051989999996, 2.18545877 41.43307932, 2.18913653 41.43395434999999, 2.18932535 41.434001450000004, 2.1895570500000003 41.43406531, 2.18967273 41.43410086, 2.1898653700000006 41.43417234999999, 2.1900487200000005 41.43425654999999, 2.1901697200000005 41.43432143999999, 2.1903146500000004 41.43441146, 2.1904462800000006 41.43451239000001, 2.1905426600000006 41.43460189, 2.1905984000000003 41.43465885999999, 2.19069927 41.434778170000016, 2.1907313800000003 41.43482258, 2.19078688 41.43490578, 2.1908694499999997 41.43505499, 2.1909248700000004 41.435171649999994, 2.19098392 41.43531455000001, 2.1910491200000006 41.43550654000001, 2.19106157 41.43554611, 2.19107536 41.43559957, 2.1911121399999995 41.43575944999999, 2.19112874 41.43585216, 2.1911597100000004 41.436095689999995, 2.1911807200000006 41.43636042, 2.19118689 41.43660044))"
M-L1-135,M-L1-136,Sant Andreu - Torras i Bages,L1,Metro,736.8535892248403,6.944444444444445,01:46,False,"MULTILINESTRING ((2.19118689 41.43660044, 2.1911885899999994 41.43676427, 2.19118325 41.43691717000001, 2.19116371 41.437185119999995, 2.1911603199999994 41.43725230999999, 2.1911390500000003 41.437461309999996, 2.1911318800000004 41.43755763000001, 2.1911007000000002 41.43784865999999, 2.19108731 41.43800371999999, 2.1908237300000004 41.44170706999999, 2.19079902 41.44193186999999, 2.19073214 41.442408269999994, 2.1907148 41.44259460000001, 2.1906706399999996 41.443224709999996))"
M-L1-136,M-L1-137,Torras i Bages - Trinitat Vella,L1,Metro,727.3186562623343,6.944444444444445,01:44,False,"MULTILINESTRING ((2.1906706399999996 41.443224709999996, 2.19062903 41.44382027999999, 2.1906245100000006 41.444070529999976, 2.19062944 41.444209099999995, 2.1906292499999998 41.44429179, 2.19062162 41.444480889999994, 2.19057634 41.44514514, 2.1905718400000005 41.44529432, 2.19057992 41.445435610000004, 2.19059559 41.44552632, 2.1906248600000007 41.445654469999994, 2.19067181 41.44579141, 2.19073752 41.44592389999998, 2.1908077599999998 41.44603999, 2.1908771199999997 41.44614228999999, 2.19097801 41.44626160000001, 2.1910612000000005 41.44634621, 2.191156200000001 41.44643428999999, 2.19152254 41.44673569, 2.1916481300000004 41.44684384999999, 2.19182482 41.44699905000001, 2.1920943400000006 41.44724956, 2.19383728 41.44895649))"
M-L1-137,M-L1-138,Trinitat Vella - Baró de Viver,L1,Metro,540.0514050696585,6.944444444444445,01:17,False,"MULTILINESTRING ((2.19383728 41.44895649, 2.19432745 41.44943673000001, 2.1944105500000006 41.44951465, 2.1945747699999996 41.44965083, 2.19475269 41.4497769, 2.19487435 41.44985257, 2.1949339700000006 41.44988698999999, 2.19513132 41.44998876999999, 2.19533905 41.4500781, 2.1955557700000004 41.450154399999995, 2.19578002 41.45021716, 2.1960103400000004 41.450265959999996, 2.1962451600000006 41.45030046000001, 2.1965011 41.45032247999999, 2.1967008400000005 41.45032796000001, 2.19675064 41.45032783, 2.1969769100000005 41.45031841, 2.1970812 41.45030934, 2.19728497 41.450287149999994, 2.19742858 41.45026742999999, 2.19858706 41.45009447000001, 2.1993984000000006 41.44996422999999, 2.19956295 41.44993579))"
M-L1-138,M-L1-139,Baró de Viver - Santa Coloma,L1,Metro,735.166457220935,6.944444444444445,01:45,False,"MULTILINESTRING ((2.19956295 41.44993579, 2.1998102299999998 41.44989261999999, 2.20028555 41.44980451, 2.2007038400000005 41.44972355, 2.2008779500000006 41.44969398, 2.2010751300000004 41.44967017, 2.20116295 41.44966283, 2.2012421700000004 41.44965868, 2.20131075 41.44965651, 2.20155176 41.44965817999999, 2.2029464599999997 41.449731529999994, 2.2031245199999994 41.44974499, 2.20332429 41.44976983999999, 2.2034113399999997 41.44978414, 2.2035980200000003 41.449823640000005, 2.2037627300000002 41.44986781, 2.2039647600000003 41.4499336, 2.2063412100000006 41.45078686, 2.2064530200000005 41.45082524, 2.20666953 41.45089002999998, 2.20676043 41.45091327, 2.20690107 41.45094235, 2.20714033 41.45097987999999, 2.20737071 41.4510051, 2.20796946 41.45106735))"
M-L1-139,M-L1-140,Santa Coloma - Fondo,L1,Metro,899.1878013399398,6.944444444444445,02:09,False,"MULTILINESTRING ((2.20796946 41.45106735, 2.2084378500000006 41.45111596000001, 2.2086508500000006 41.4511311, 2.2086948999999994 41.45113302, 2.20890974 41.45113449, 2.20893725 41.45113365, 2.2091287 41.45112132, 2.20918473 41.45111549, 2.20933948 41.45109589, 2.20942263 41.45108278, 2.2125039500000003 41.45055434, 2.21262229 41.45053616999999, 2.2128507100000006 41.45051238, 2.21303902 41.45050352999999, 2.21317907 41.45050360999999, 2.2133808300000006 41.45051603, 2.21346988 41.45052615, 2.2135852900000006 41.45054292, 2.2138187800000004 41.450587909999996, 2.2139952800000002 41.45063223, 2.21525214 41.450980619999996, 2.21538615 41.45101655, 2.2155788499999995 41.45106463999999, 2.21571069 41.451094790000006, 2.21607708 41.45116747000001, 2.21843513 41.45158315))"
M-L2-210,M-L2-211,Paral·lel - Sant Antoni,L2,Metro,788.5154128571583,6.944444444444445,01:53,False,"MULTILINESTRING ((2.16911679 41.37500406000001, 2.1685606 41.37500641999999, 2.1684530199999994 41.37500848999999, 2.16832797 41.375017160000006, 2.1681583700000004 41.375041769999996, 2.1679936200000003 41.37508078, 2.16783582 41.37513369, 2.1676870800000003 41.375199789999996, 2.1675493 41.37527824, 2.1674942800000006 41.37531514999999, 2.16743398 41.37535887, 2.1670908 41.37562118, 2.16702501 41.37567548999999, 2.1667440699999996 41.37591898, 2.16666002 41.37598901999999, 2.16651442 41.3761037, 2.1636253800000005 41.378299340000005, 2.1635646 41.37834812999999, 2.1634540000000007 41.37845303999999, 2.1633594000000005 41.378566499999984, 2.1632819400000005 41.3786871, 2.16322258 41.37881339, 2.1631819999999995 41.378943819999996, 2.16316073 41.379076829999995, 2.1631590200000006 41.37921079, 2.16316578 41.37927961999999, 2.1632411400000002 41.379832840000006))"
