origen,dest,tram,last_line,type,time,directed,cost,geometry
B-7-547,Zona Universitària,Metro Zona Universitària - Zona Universitària,7,Egress,4.716666666666667,True,10.6125,"LINESTRING (2.1109622 41.384587, 2.1115241 41.384731, 2.1117548 41.3847907, 2.1120383 41.3848542, 2.112159 41.3848489, 2.1122489 41.3848297, 2.1123579 41.3847836, 2.1124009 41.3847636, 2.1124331 41.3847465, 2.112467 41.3847185, 2.1124901 41.3846895, 2.1125116 41.3846496, 2.1125407 41.3845719, 2.112575 41.3844674, 2.1125899 41.3843973, 2.1125887 41.3843425, 2.1128119 41.3843854, 2.1128361 41.3843191, 2.1127729 41.384303, 2.1126747 41.3840648, 2.1126687 41.3840577, 2.1125913 41.3839644, 2.1129576 41.3831384, 2.1130015 41.3830281, 2.1130296 41.3829722, 2.11306 41.382912, 2.1137121 41.3830792, 2.1147478 41.3833586)"
B-33-548,Zona Universitària,Zona Universitària - Facultat d'Economia i Empresa - Zona Universitària,33,Egress,5.183333333333334,True,11.662500000000001,"LINESTRING (2.1108172 41.3846429, 2.1118012 41.3848908, 2.1118478 41.3849037, 2.111952 41.3848806, 2.1120383 41.3848542, 2.112159 41.3848489, 2.1122489 41.3848297, 2.1123579 41.3847836, 2.1124009 41.3847636, 2.1124331 41.3847465, 2.112467 41.3847185, 2.1124901 41.3846895, 2.1125116 41.3846496, 2.1125407 41.3845719, 2.112575 41.3844674, 2.1125899 41.3843973, 2.1125887 41.3843425, 2.1128119 41.3843854, 2.1128361 41.3843191, 2.1127729 41.384303, 2.1126747 41.3840648, 2.1126687 41.3840577, 2.1125913 41.3839644, 2.1129576 41.3831384, 2.1130015 41.3830281, 2.1130296 41.3829722, 2.11306 41.382912, 2.1137121 41.3830792, 2.1147478 41.3833586)"
B-113-548,Zona Universitària,Zona Universitària - Facultat d'Economia i Empresa - Zona Universitària,113,Egress,5.183333333333334,True,11.662500000000001,"LINESTRING (2.1108172 41.3846429, 2.1118012 41.3848908, 2.1118478 41.3849037, 2.111952 41.3848806, 2.1120383 41.3848542, 2.112159 41.3848489, 2.1122489 41.3848297, 2.1123579 41.3847836, 2.1124009 41.3847636, 2.1124331 41.3847465, 2.112467 41.3847185, 2.1124901 41.3846895, 2.1125116 41.3846496, 2.1125407 41.3845719, 2.112575 41.3844674, 2.1125899 41.3843973, 2.1125887 41.3843425, 2.1128119 41.3843854, 2.1128361 41.3843191, 2.1127729 41.384303, 2.1126747 41.3840648, 2.1126687 41.3840577, 2.1125913 41.3839644, 2.1129576 41.3831384, 2.1130015 41.3830281, 2.1130296 41.3829722, 2.11306 41.382912, 2.1137121 41.3830792, 2.1147478 41.3833586)"
B-V1-548,Zona Universitària,Zona Universitària - Facultat d'Economia i Empresa - Zona Universitària,V1,Egress,5.183333333333334,True,11.662500000000001,"LINESTRING (2.1108172 41.3846429, 2.1118012 41.3848908, 2.1118478 41.3849037, 2.111952 41.3848806, 2.1120383 41.3848542, 2.112159 41.3848489, 2.1122489 41.3848297, 2.1123579 41.3847836, 2.1124009 41.3847636, 2.1124331 41.3847465, 2.112467 41.3847185, 2.1124901 41.3846895, 2.1125116 41.3846496, 2.1125407 41.3845719, 2.112575 41.3844674, 2.1125899 41.3843973, 2.1125887 41.3843425, 2.1128119 41.3843854, 2.1128361 41.3843191, 2.1127729 41.384303, 2.1126747 41.3840648, 2.1126687 41.3840577, 2.1125913 41.3839644, 2.1129576 41.3831384, 2.1130015 41.3830281, 2.1130296 41.3829722, 2.11306 41.382912, 2.1137121 41.3830792, 2.1147478 41.3833586)"
B-175-548,Zona Universitària,Zona Universitària - Facultat d'Economia i Empresa - Zona Universitària,175,Egress,5.183333333333334,True,11.662500000000001,"LINESTRING (2.1108172 41.3846429, 2.1118012 41.3848908, 2.1118478 41.3849037, 2.111952 41.3848806, 2.1120383 41.3848542, 2.112159 41.3848489, 2.1122489 41.3848297, 2.1123579 41.3847836, 2.1124009 41.3847636, 2.1124331 41.3847465, 2.112467 41.3847185, 2.1124901 41.3846895, 2.1125116 41.3846496, 2.1125407 41.3845719, 2.112575 41.3844674, 2.1125899 41.3843973, 2.1125887 41.3843425, 2.1128119 41.3843854, 2.1128361 41.3843191, 2.1127729 41.384303, 2.1126747 41.3840648, 2.1126687 41.3840577, 2.1125913 41.3839644, 2.1129576 41.3831384, 2.1130015 41.3830281, 2.1130296 41.3829722, 2.11306 41.382912, 2.1137121 41.3830792, 2.1147478 41.3833586)"
B-H6-556,Zona Universitària,Zona Universitària - Zona Universitària,H6,Egress,4.95,True,11.137500000000001,"LINESTRING (2.1109622 41.384587, 2.1109056 41.3845722, 2.1108571 41.3845567, 2.1108727 41.3845227, 2.1108815 41.3845034, 2.1109185 41.3843616, 2.1108794 41.3843504, 2.11082 41.3843395, 2.1109022 41.3841559, 2.1110729 41.3841993, 2.1115372 41.384317, 2.1116123 41.3843362, 2.1117845 41.3843799, 2.1118647 41.3843577, 2.1119397 41.3843311, 2.1120252 41.3842821, 2.1120583 41.3842411, 2.112072 41.3842103, 2.112135 41.3840673, 2.1121433 41.3840493, 2.1121545 41.3840242, 2.1125027 41.3832385, 2.1126008 41.3830536, 2.1126212 41.3830237, 2.1127049 41.3829015, 2.1127591 41.3829134, 2.112887 41.3829412, 2.1130296 41.3829722, 2.11306 41.382912, 2.1137121 41.3830792, 2.1147478 41.3833586)"
B-JM-712,Zona Universitària,Av de l'Exèrcit - Trias i Giró - Zona Universitària,JM,Egress,5.733333333333333,True,12.9,"LINESTRING (2.1098677 41.3852602, 2.1102456 41.3850656, 2.1103168 41.385029, 2.1103918 41.3850489, 2.1104843 41.3850022, 2.1105128 41.384977, 2.1105373 41.3849498, 2.1105457 41.3849361, 2.1105596 41.3849134, 2.1106011 41.3848271, 2.1106797 41.384652, 2.1106974 41.3846124, 2.1107169 41.384569, 2.1107424 41.3845122, 2.1107534 41.3844876, 2.1108086 41.3843646, 2.11082 41.3843395, 2.1109022 41.3841559, 2.1110729 41.3841993, 2.1115372 41.384317, 2.1116123 41.3843362, 2.1117845 41.3843799, 2.1118647 41.3843577, 2.1119397 41.3843311, 2.1120252 41.3842821, 2.1120583 41.3842411, 2.112072 41.3842103, 2.112135 41.3840673, 2.1121433 41.3840493, 2.1121545 41.3840242, 2.1125027 41.3832385, 2.1126008 41.3830536, 2.1126212 41.3830237, 2.1127049 41.3829015, 2.1127591 41.3829134, 2.112887 41.3829412, 2.1130296 41.3829722, 2.11306 41.382912, 2.1137121 41.3830792, 2.1147478 41.3833586)"
B-H4-712,Zona Universitària,Av de l'Exèrcit - Trias i Giró - Zona Universitària,H4,Egress,5.733333333333333,True,12.9,"LINESTRING (2.1098677 41.3852602, 2.1102456 41.3850656, 2.1103168 41.385029, 2.1103918 41.3850489, 2.1104843 41.3850022, 2.1105128 41.384977, 2.1105373 41.3849498, 2.1105457 41.3849361, 2.1105596 41.3849134, 2.1106011 41.3848271, 2.1106797 41.384652, 2.1106974 41.3846124, 2.1107169 41.384569, 2.1107424 41.3845122, 2.1107534 41.3844876, 2.1108086 41.3843646, 2.11082 41.3843395, 2.1109022 41.3841559, 2.1110729 41.3841993, 2.1115372 41.384317, 2.1116123 41.3843362, 2.1117845 41.3843799, 2.1118647 41.3843577, 2.1119397 41.3843311, 2.1120252 41.3842821, 2.1120583 41.3842411, 2.112072 41.3842103, 2.112135 41.3840673, 2.1121433 41.3840493, 2.1121545 41.3840242, 2.1125027 41.3832385, 2.1126008 41.3830536, 2.1126212 41.3830237, 2.1127049 41.3829015, 2.1127591 41.3829134, 2.112887 41.3829412, 2.1130296 41.3829722, 2.11306 41.382912, 2.1137121 41.3830792, 2.1147478 41.3833586)"
B-113-1650,Zona Universitària,Av Doctor Marañón - Av de Xile - Zona Universitària,113,Egress,3.716666666666667,True,8.3625,"LINESTRING (2.1148418 41.3812308, 2.1144338 41.3814358, 2.1143635 41.3814814, 2.1139434 41.3817542, 2.1136284 41.3819537, 2.1131392 41.3823734, 2.112816 41.3827402, 2.1128657 41.3827616, 2.112884 41.3827694, 2.1129267 41.3827877, 2.1129781 41.3828097, 2.113038 41.3828354, 2.1130879 41.3828568, 2.11306 41.382912, 2.1137121 41.3830792, 2.1147478 41.3833586)"
B-V1-1650,Zona Universitària,Av Doctor Marañón - Av de Xile - Zona Universitària,V1,Egress,3.716666666666667,True,8.3625,"LINESTRING (2.1148418 41.3812308, 2.1144338 41.3814358, 2.1143635 41.3814814, 2.1139434 41.3817542, 2.1136284 41.3819537, 2.1131392 41.3823734, 2.112816 41.3827402, 2.1128657 41.3827616, 2.112884 41.3827694, 2.1129267 41.3827877, 2.1129781 41.3828097, 2.113038 41.3828354, 2.1130879 41.3828568, 2.11306 41.382912, 2.1137121 41.3830792, 2.1147478 41.3833586)"
B-67-2541,Zona Universitària,Diagonal - Metro Zona Universitària - Zona Universitària,67,Egress,4.083333333333333,True,9.1875,"LINESTRING (2.1131866 41.3849962, 2.1132237 41.3848838, 2.1132304 41.384862, 2.1129208 41.3847828, 2.1127142 41.3847313, 2.1127156 41.3847226, 2.1127313 41.384621, 2.1127406 41.3845382, 2.1127465 41.3845283, 2.112787 41.3844347, 2.1128119 41.3843854, 2.1128361 41.3843191, 2.1127729 41.384303, 2.1126747 41.3840648, 2.1126687 41.3840577, 2.1125913 41.3839644, 2.1129576 41.3831384, 2.1130015 41.3830281, 2.1130296 41.3829722, 2.11306 41.382912, 2.1137121 41.3830792, 2.1147478 41.3833586)"
B-M14-2541,Zona Universitària,Diagonal - Metro Zona Universitària - Zona Universitària,M14,Egress,4.083333333333333,True,9.1875,"LINESTRING (2.1131866 41.3849962, 2.1132237 41.3848838, 2.1132304 41.384862, 2.1129208 41.3847828, 2.1127142 41.3847313, 2.1127156 41.3847226, 2.1127313 41.384621, 2.1127406 41.3845382, 2.1127465 41.3845283, 2.112787 41.3844347, 2.1128119 41.3843854, 2.1128361 41.3843191, 2.1127729 41.384303, 2.1126747 41.3840648, 2.1126687 41.3840577, 2.1125913 41.3839644, 2.1129576 41.3831384, 2.1130015 41.3830281, 2.1130296 41.3829722, 2.11306 41.382912, 2.1137121 41.3830792, 2.1147478 41.3833586)"
B-7-2542,Zona Universitària,Zona Universitària - Escola T S d'Enginyeria - Zona Universitària,7,Egress,4.05,True,9.112499999999999,"LINESTRING (2.1160131 41.3851257, 2.1143361 41.3846999, 2.1143256 41.3846973, 2.1143021 41.3846913, 2.1142545 41.3846792, 2.1142338 41.3846739, 2.1141935 41.3846637, 2.1144336 41.3841169, 2.1147041 41.3834619, 2.1147272 41.3834039, 2.1147478 41.3833586, 2.1137121 41.3830792, 2.11306 41.382912)"
B-67-2542,Zona Universitària,Zona Universitària - Escola T S d'Enginyeria - Zona Universitària,67,Egress,4.05,True,9.112499999999999,"LINESTRING (2.1160131 41.3851257, 2.1143361 41.3846999, 2.1143256 41.3846973, 2.1143021 41.3846913, 2.1142545 41.3846792, 2.1142338 41.3846739, 2.1141935 41.3846637, 2.1144336 41.3841169, 2.1147041 41.3834619, 2.1147272 41.3834039, 2.1147478 41.3833586, 2.1137121 41.3830792, 2.11306 41.382912)"
