geometry,stop_id
"POLYGON ((2.2073250082279707 41.42977224529522, 2.2075163428064486 41.431627243009025, 2.20781925507406 41.43178683895735, 2.2092640483345125 41.43148383882389, 2.211112190391138 41.43191323487734, 2.211420926856809 41.4317594788519, 2.211591741654884 41.43049366888836, 2.211554835163438 41.42872656890695, 2.2112013570331084 41.42857105112346, 2.209410711703901 41.4293021616733, 2.207438855760462 41.42894806878502, 2.207149350405874 41.42916140732479, 2.2073250082279707 41.42977224529522))",222
"POLYGON ((2.218381928076888 41.43313462446526, 2.2168380301561776 41.432627682035005, 2.2165033428237857 41.43278209973961, 2.216401338115364 41.434072199488746, 2.216524790025718 41.43424069042543, 2.2183222930021835 41.43498589223654, 2.2185410462075414 41.43499063409924, 2.2203158496725646 41.43435213255411, 2.2204519651960917 41.43419192185412, 2.2204784595148346 41.432644821749996, 2.2201327334802228 41.43248111073007, 2.218381928076888 41.43313462446526))",223
"POLYGON ((2.226999436499689 41.43614094314465, 2.2271034891174786 41.43736787416085, 2.2274601115750867 41.43751326898594, 2.2291304867555723 41.43680345793618, 2.230729989147944 41.437656389026834, 2.231107797034533 41.43750900405553, 2.2311019897324242 41.43552200400461, 2.2309361323405654 41.43535095823153, 2.229235024105879 41.43493774829436, 2.2275118686133024 41.434052513007984, 2.227256154562157 41.434045744895286, 2.2254599574451728 41.43483534305569, 2.225425115756276 41.43512781453108, 2.226999436499689 41.43614094314465))",224
"POLYGON ((2.234227571197795 41.440193917149365, 2.232827874884801 41.439568218351035, 2.232466259929057 41.43971887908788, 2.23242035451944 41.44119267894695, 2.2325386453824 41.441352324768395, 2.234382448212239 41.44216542671163, 2.2346247825653447 41.442165324816635, 2.236447585469618 41.44135942294078, 2.236565707299455 41.44120305041597, 2.236554802123531 41.43979495039419, 2.2364318851114997 41.4396386115304, 2.2349319875655436 41.439010013053505, 2.2345832485830255 41.439123693949774, 2.234227571197795 41.440193917149365))",225
"POLYGON ((2.2375381374201004 41.443807099929764, 2.236162854785956 41.44423258289326, 2.236121969292263 41.44454953260796, 2.2378800715202725 41.445423034621165, 2.2396881686138217 41.44612094924256, 2.2400362330218413 41.44597218938812, 2.240185226677309 41.444233089028096, 2.2400053824954362 41.44268219895965, 2.2398663414345843 41.442534223486795, 2.2381715447656756 41.44195192496414, 2.236294880022727 41.44243893658141, 2.236205824272933 41.442729719288955, 2.2375381374201004 41.443807099929764))",226
"POLYGON ((2.24360278206484 41.447584491591485, 2.2434202223484716 41.44758169713557, 2.241496926601127 41.448144395736705, 2.241472839389961 41.44847197783454, 2.243285414287653 41.44918434158064, 2.2450206636895658 41.45009059220468, 2.245262140155408 41.45010452776043, 2.247118443724553 41.449423526115666, 2.247150926598541 41.44911407584112, 2.245339028622359 41.44815857799904, 2.24360278206484 41.447584491591485))",227
"POLYGON ((2.109554831822407 41.38332054705586, 2.1093384659298877 41.38350979646165, 2.1094620597478677 41.385201696653596, 2.109842424039705 41.38533703535664, 2.1113841239885116 41.38448490492977, 2.1130572438927766 41.38515077895679, 2.113321430415901 41.385130333815304, 2.11472693142677 41.38425503198361, 2.11478974993286 41.384037631298085, 2.113506444816242 41.382043333621766, 2.1130595238075793 41.38207710020246, 2.1127121327704352 41.38309614704164, 2.109554831822407 41.38332054705586))",314
"POLYGON ((2.116562258577544 41.38515647403213, 2.1163674598356232 41.38647635732621, 2.116702720951415 41.38665243284067, 2.1185067953025793 41.38605324058633, 2.120183912234283 41.386802063709595, 2.12054502925427 41.38665169835126, 2.1206089223574685 41.38476699815176, 2.1204465907908796 41.384591785888304, 2.118593895034608 41.384118787153334, 2.1183746566883253 41.384144676232715, 2.116562258577544 41.38515647403213))",315
"POLYGON ((2.1256680122739087 41.38733008450848, 2.124016679142549 41.386550274545186, 2.1236503997847405 41.38670149336642, 2.1236345941994608 41.388225593278946, 2.12487502019157 41.389093193439884, 2.1275220258505207 41.389882595499614, 2.12784834617916 41.38969887252479, 2.1276862780172014 41.388349438132586, 2.127719479967122 41.38670604086231, 2.127355115455126 41.38654978896157, 2.1256680122739087 41.38733008450848))",316
"POLYGON ((2.1289957204307295 41.384322404951796, 2.129057202729007 41.38587279732452, 2.129379182201379 41.386036390275216, 2.130922535541283 41.38560704548952, 2.1327295852098613 41.38600616970019, 2.133035736626571 41.38584328955716, 2.133148431058831 41.384314989271566, 2.1330754379725008 41.382770105888405, 2.132954591691341 41.38261997928897, 2.131249994400164 41.3818902810473, 2.130892612025973 41.382046039370486, 2.130884348536347 41.38334836942161, 2.1293534822285127 41.38284138929328, 2.1290180252599114 41.383004005044896, 2.1289957204307295 41.384322404951796))",317
"POLYGON ((2.13441117589367 41.382498481416285, 2.134412402786554 41.38380492764509, 2.1347644050841734 41.38396365885188, 2.136573508288809 41.38323495712867, 2.136698758188956 41.383093640653584, 2.1369134057643175 41.38144111705147, 2.1385705351767563 41.38030206557005, 2.138455222372132 41.37999220122623, 2.13658491630518 41.379745830462355, 2.134626620582005 41.380333129014424, 2.1328632677008796 41.38093921946681, 2.1327901317977456 41.381227921407145, 2.13441117589367 41.382498481416285))",318
"POLYGON ((2.139909607700586 41.381366343875946, 2.139659932666726 41.382601280660964, 2.1399681004854085 41.38280026606777, 2.1419151741940183 41.382339474589564, 2.142018618120839 41.38366020883515, 2.1423921498215224 41.38379844452114, 2.1438152516147446 41.38306764288994, 2.1439196702208694 41.38292135928246, 2.143961278956272 41.379818746738835, 2.143845222864758 41.37966325132125, 2.142058825502771 41.378855353237334, 2.1418033068401363 41.37885976542902, 2.1399431093000065 41.379790963335786, 2.1398364967457364 41.379947989040154, 2.139909607700586 41.381366343875946))",319
