service_id,date,exception_type
4800849-FEINERS,20260710,1
4800849-FEINERS,20260713,1
4800849-FEINERS,20260714,1
4800849-FEINERS,20260715,1
4800849-FEINERS,20260716,1
4800849-FEINERS,20260717,1
4800849-FEINERS,20260720,1
4800849-FEINERS,20260721,1
4800849-FEINERS,20260722,1
4900373-FEINERS,20260622,1
4900373-FEINERS,20260623,1
4900373-FEINERS,20260625,1
4900373-FEINERS,20260626,1
4900373-FEINERS,20260629,1
4900373-FEINERS,20260630,1
4900373-FEINERS,20260701,1
4900373-FEINERS,20260702,1
4900373-FEINERS,20260703,1
4900373-FEINERS,20260706,1
4900373-FEINERS,20260707,1
4900373-FEINERS,20260708,1
4900373-FEINERS,20260709,1
4900373-FEINERS,20260710,1
4900373-FEINERS,20260713,1
4900373-FEINERS,20260714,1
4900373-FEINERS,20260715,1
4900373-FEINERS,20260716,1
4900373-FEINERS,20260717,1
4900373-FEINERS,20260720,1
4900373-FEINERS,20260721,1
4900373-FEINERS,20260722,1
4900409-DISSABTES,20260627,1
4900409-DISSABTES,20260704,1
4900409-DISSABTES,20260711,1
4900409-DISSABTES,20260718,1
4900409-FESTIUS,20260624,1
4900409-FESTIUS,20260628,1
4900409-FESTIUS,20260705,1
4900409-FESTIUS,20260712,1
4900409-FESTIUS,20260719,1
4900888-FEINERS,20260622,1
4900888-FEINERS,20260623,1
4900888-FEINERS,20260625,1
4900888-FEINERS,20260626,1
4900888-FEINERS,20260629,1
4900888-FEINERS,20260630,1
4900888-FEINERS,20260701,1
4900888-FEINERS,20260702,1
4900888-FEINERS,20260703,1
4900888-FEINERS,20260706,1
4900888-FEINERS,20260707,1
4900888-FEINERS,20260708,1
4900888-FEINERS,20260709,1
4900888-FEINERS,20260710,1
4900888-FEINERS,20260713,1
4900888-FEINERS,20260714,1
4900888-FEINERS,20260715,1
4900888-FEINERS,20260716,1
4900888-FEINERS,20260717,1
4900888-FEINERS,20260720,1
4900888-FEINERS,20260721,1
4900888-FEINERS,20260722,1
5100077-LECTIVO,20260622,1
5100077-LECTIVO,20260623,1
5100077-LECTIVO,20260625,1
5100077-LECTIVO,20260626,1
5100077-LECTIVO,20260629,1
5100077-LECTIVO,20260630,1
5100077-LECTIVO,20260701,1
5100077-LECTIVO,20260702,1
5100077-LECTIVO,20260703,1
5100077-LECTIVO,20260706,1
5100077-LECTIVO,20260707,1
5100077-LECTIVO,20260708,1
5100077-LECTIVO,20260709,1
5100077-LECTIVO,20260710,1
5300271-DISSABTES,20260627,1
5300271-DISSABTES,20260704,1
5300271-DISSABTES,20260711,1
5300271-DISSABTES,20260718,1
5300271-FEI EXC VAC,20260622,1
5300271-FEI EXC VAC,20260623,1
5300271-FEI EXC VAC,20260625,1
5300271-FEI EXC VAC,20260626,1
5300271-FEI EXC VAC,20260629,1
5300271-FEI EXC VAC,20260630,1
5300271-FEI EXC VAC,20260701,1
5300271-FEI EXC VAC,20260702,1
5300271-FEI EXC VAC,20260703,1
5300271-FEI EXC VAC,20260706,1
5300271-FEI EXC VAC,20260707,1
5300271-FEI EXC VAC,20260708,1
5300271-FEI EXC VAC,20260709,1
5300271-FEI EXC VAC,20260710,1
5300271-FEI EXC VAC,20260713,1
5300271-FEI EXC VAC,20260714,1
5300271-FEI EXC VAC,20260715,1
5300271-FEI EXC VAC,20260716,1
5300271-FEI EXC VAC,20260717,1
5300271-FEI EXC VAC,20260720,1
5300271-FEI EXC VAC,20260721,1
5300271-FEI EXC VAC,20260722,1
5300271-FESTIUS,20260624,1
5300271-FESTIUS,20260628,1
5300271-FESTIUS,20260705,1
5300271-FESTIUS,20260712,1
5300271-FESTIUS,20260719,1
5300374-FEI EXC VAC,20260622,1
5300374-FEI EXC VAC,20260623,1
5300374-FEI EXC VAC,20260625,1
5300374-FEI EXC VAC,20260626,1
5300374-FEI EXC VAC,20260629,1
5300374-FEI EXC VAC,20260630,1
5300374-FEI EXC VAC,20260701,1
5300374-FEI EXC VAC,20260702,1
5300374-FEI EXC VAC,20260703,1
5300374-FEI EXC VAC,20260706,1
5300374-FEI EXC VAC,20260707,1
5300374-FEI EXC VAC,20260708,1
5300374-FEI EXC VAC,20260709,1
5300374-FEI EXC VAC,20260710,1
5300374-FEI EXC VAC,20260713,1
5300374-FEI EXC VAC,20260714,1
5300374-FEI EXC VAC,20260715,1
5300374-FEI EXC VAC,20260716,1
5300374-FEI EXC VAC,20260717,1
5300374-FEI EXC VAC,20260720,1
5300374-FEI EXC VAC,20260721,1
5300374-FEI EXC VAC,20260722,1
5300408-FESTIUS,20260624,1
5300408-FESTIUS,20260628,1
5300408-FESTIUS,20260705,1
5300408-FESTIUS,20260712,1
5300408-FESTIUS,20260719,1
5500074-DISSABTES,20260627,1
5500074-DISSABTES,20260704,1
5500074-DISSABTES,20260711,1
5500074-DISSABTES,20260718,1
5500074-FESTIUS,20260624,1
5500074-FESTIUS,20260628,1
5500074-FESTIUS,20260705,1
5500074-FESTIUS,20260712,1
5500074-FESTIUS,20260719,1
5500363-FEI EXC VAC,20260622,1
5500363-FEI EXC VAC,20260623,1
5500363-FEI EXC VAC,20260625,1
5500363-FEI EXC VAC,20260626,1
5500363-FEI EXC VAC,20260629,1
5500363-FEI EXC VAC,20260630,1
5500363-FEI EXC VAC,20260701,1
5500363-FEI EXC VAC,20260702,1
5500363-FEI EXC VAC,20260703,1
5500363-FEI EXC VAC,20260706,1
5500363-FEI EXC VAC,20260707,1
5500363-FEI EXC VAC,20260708,1
5500363-FEI EXC VAC,20260709,1
5500363-FEI EXC VAC,20260710,1
5500363-FEI EXC VAC,20260713,1
5500363-FEI EXC VAC,20260714,1
5500363-FEI EXC VAC,20260715,1
5500363-FEI EXC VAC,20260716,1
5500363-FEI EXC VAC,20260717,1
5500363-FEI EXC VAC,20260720,1
5500363-FEI EXC VAC,20260721,1
5500363-FEI EXC VAC,20260722,1
5600333-DISSABTES,20260627,1
5600333-DISSABTES,20260704,1
5600333-DISSABTES,20260711,1
5600333-DISSABTES,20260718,1
5600333-FEI EXC VAC,20260622,1
5600333-FEI EXC VAC,20260623,1
5600333-FEI EXC VAC,20260625,1
5600333-FEI EXC VAC,20260626,1
5600333-FEI EXC VAC,20260629,1
5600333-FEI EXC VAC,20260630,1
5600333-FEI EXC VAC,20260701,1
5600333-FEI EXC VAC,20260702,1
5600333-FEI EXC VAC,20260703,1
5600333-FEI EXC VAC,20260706,1
5600333-FEI EXC VAC,20260707,1
5600333-FEI EXC VAC,20260708,1
5600333-FEI EXC VAC,20260709,1
5600333-FEI EXC VAC,20260710,1
5600333-FEI EXC VAC,20260713,1
5600333-FEI EXC VAC,20260714,1
5600333-FEI EXC VAC,20260715,1
5600333-FEI EXC VAC,20260716,1
5600333-FEI EXC VAC,20260717,1
5600333-FEI EXC VAC,20260720,1
5600333-FEI EXC VAC,20260721,1
5600333-FEI EXC VAC,20260722,1
5600333-FESTIUS,20260624,1
5600333-FESTIUS,20260628,1
5600333-FESTIUS,20260705,1
5600333-FESTIUS,20260712,1
5600333-FESTIUS,20260719,1
5700235-DISSABTES,20260627,1
5700235-DISSABTES,20260704,1
5700235-DISSABTES,20260711,1
5700235-DISSABTES,20260718,1
5700235-FEI EXC VAC,20260622,1
5700235-FEI EXC VAC,20260623,1
5700235-FEI EXC VAC,20260625,1
5700235-FEI EXC VAC,20260626,1
5700235-FEI EXC VAC,20260629,1
5700235-FEI EXC VAC,20260630,1
5700235-FEI EXC VAC,20260701,1
5700235-FEI EXC VAC,20260702,1
5700235-FEI EXC VAC,20260703,1
5700235-FEI EXC VAC,20260706,1
5700235-FEI EXC VAC,20260707,1
5700235-FEI EXC VAC,20260708,1
5700235-FEI EXC VAC,20260709,1
5700235-FEI EXC VAC,20260710,1
5700235-FEI EXC VAC,20260713,1
5700235-FEI EXC VAC,20260714,1
5700235-FEI EXC VAC,20260715,1
5700235-FEI EXC VAC,20260716,1
5700235-FEI EXC VAC,20260717,1
5700235-FEI EXC VAC,20260720,1
5700235-FEI EXC VAC,20260721,1
5700235-FEI EXC VAC,20260722,1
5700235-FESTIUS,20260624,1
5700235-FESTIUS,20260628,1
5700235-FESTIUS,20260705,1
5700235-FESTIUS,20260712,1
5700235-FESTIUS,20260719,1
5800200-DISSABTES,20260627,1
5800200-DISSABTES,20260704,1
5800200-DISSABTES,20260711,1
5800200-DISSABTES,20260718,1
5800200-FEI EXC VAC,20260622,1
5800200-FEI EXC VAC,20260623,1
5800200-FEI EXC VAC,20260625,1
5800200-FEI EXC VAC,20260626,1
5800200-FEI EXC VAC,20260629,1
5800200-FEI EXC VAC,20260630,1
5800200-FEI EXC VAC,20260701,1
5800200-FEI EXC VAC,20260702,1
5800200-FEI EXC VAC,20260703,1
5800200-FEI EXC VAC,20260706,1
5800200-FEI EXC VAC,20260707,1
5800200-FEI EXC VAC,20260708,1
5800200-FEI EXC VAC,20260709,1
5800200-FEI EXC VAC,20260710,1
5800200-FEI EXC VAC,20260713,1
5800200-FEI EXC VAC,20260714,1
5800200-FEI EXC VAC,20260715,1
5800200-FEI EXC VAC,20260716,1
5800200-FEI EXC VAC,20260717,1
5800200-FEI EXC VAC,20260720,1
5800200-FEI EXC VAC,20260721,1
5800200-FEI EXC VAC,20260722,1
5800200-FESTIUS,20260624,1
5800200-FESTIUS,20260628,1
5800200-FESTIUS,20260705,1
5800200-FESTIUS,20260712,1
5800200-FESTIUS,20260719,1
5900074-FESTIUS,20260624,1
5900074-FESTIUS,20260628,1
5900074-FESTIUS,20260705,1
5900074-FESTIUS,20260712,1
5900074-FESTIUS,20260719,1
5900235-DISSABTES,20260627,1
5900235-DISSABTES,20260704,1
5900235-DISSABTES,20260711,1
5900235-DISSABTES,20260718,1
5900235-FESTIUS,20260624,1
5900235-FESTIUS,20260628,1
5900235-FESTIUS,20260705,1
5900235-FESTIUS,20260712,1
5900235-FESTIUS,20260719,1
5900331-LABORABLES 2018,20260622,1
5900331-LABORABLES 2018,20260623,1
5900331-LABORABLES 2018,20260625,1
5900331-LABORABLES 2018,20260626,1
5900331-LABORABLES 2018,20260629,1
5900331-LABORABLES 2018,20260630,1
5900331-LABORABLES 2018,20260701,1
5900331-LABORABLES 2018,20260702,1
5900331-LABORABLES 2018,20260703,1
5900331-LABORABLES 2018,20260706,1
5900331-LABORABLES 2018,20260707,1
5900331-LABORABLES 2018,20260708,1
5900331-LABORABLES 2018,20260709,1
5900331-LABORABLES 2018,20260710,1
5900331-LABORABLES 2018,20260713,1
5900331-LABORABLES 2018,20260714,1
5900331-LABORABLES 2018,20260715,1
5900331-LABORABLES 2018,20260716,1
5900331-LABORABLES 2018,20260717,1
5900331-LABORABLES 2018,20260720,1
5900331-LABORABLES 2018,20260721,1
5900331-LABORABLES 2018,20260722,1
5900374-FEI EXC VAC,20260622,1
5900374-FEI EXC VAC,20260623,1
5900374-FEI EXC VAC,20260625,1
5900374-FEI EXC VAC,20260626,1
5900374-FEI EXC VAC,20260629,1
5900374-FEI EXC VAC,20260630,1
5900374-FEI EXC VAC,20260701,1
5900374-FEI EXC VAC,20260702,1
5900374-FEI EXC VAC,20260703,1
5900374-FEI EXC VAC,20260706,1
5900374-FEI EXC VAC,20260707,1
5900374-FEI EXC VAC,20260708,1
5900374-FEI EXC VAC,20260709,1
5900374-FEI EXC VAC,20260710,1
5900374-FEI EXC VAC,20260713,1
5900374-FEI EXC VAC,20260714,1
5900374-FEI EXC VAC,20260715,1
5900374-FEI EXC VAC,20260716,1
5900374-FEI EXC VAC,20260717,1
5900374-FEI EXC VAC,20260720,1
5900374-FEI EXC VAC,20260721,1
5900374-FEI EXC VAC,20260722,1
5900888-FEINERS,20260622,1
5900888-FEINERS,20260623,1
5900888-FEINERS,20260625,1
5900888-FEINERS,20260626,1
5900888-FEINERS,20260629,1
5900888-FEINERS,20260630,1
5900888-FEINERS,20260701,1
5900888-FEINERS,20260702,1
5900888-FEINERS,20260703,1
5900888-FEINERS,20260706,1
5900888-FEINERS,20260707,1
5900888-FEINERS,20260708,1
5900888-FEINERS,20260709,1
5900888-FEINERS,20260710,1
5900888-FEINERS,20260713,1
5900888-FEINERS,20260714,1
5900888-FEINERS,20260715,1
5900888-FEINERS,20260716,1
5900888-FEINERS,20260717,1
5900888-FEINERS,20260720,1
5900888-FEINERS,20260721,1
5900888-FEINERS,20260722,1
6000068-DISSABTES,20260704,1
6000068-DISSABTES,20260711,1
6000068-DISSABTES,20260718,1
6000068-LABORABLES,20260622,1
6000068-LABORABLES,20260623,1
6000068-LABORABLES,20260625,1
6000068-LABORABLES,20260626,1
6000068-LABORABLES,20260629,1
6000068-LABORABLES,20260630,1
6000068-LABORABLES,20260701,1
6000068-LABORABLES,20260702,1
6000068-LABORABLES,20260703,1
6000068-LABORABLES,20260706,1
6000068-LABORABLES,20260707,1
6000068-LABORABLES,20260708,1
6000068-LABORABLES,20260709,1
6000068-LABORABLES,20260710,1
6000068-LABORABLES,20260713,1
6000068-LABORABLES,20260714,1
6000068-LABORABLES,20260715,1
6000068-LABORABLES,20260716,1
6000068-LABORABLES,20260717,1
6000068-LABORABLES,20260720,1
6000068-LABORABLES,20260721,1
6000068-LABORABLES,20260722,1
60300509-LABORABLES,20260622,1
60300509-LABORABLES,20260623,1
60300509-LABORABLES,20260625,1
60300509-LABORABLES,20260626,1
60300509-LABORABLES,20260629,1
60300509-LABORABLES,20260630,1
60300509-LABORABLES,20260701,1
60300509-LABORABLES,20260702,1
60300509-LABORABLES,20260703,1
60300509-LABORABLES,20260706,1
60300509-LABORABLES,20260707,1
60300509-LABORABLES,20260708,1
60300509-LABORABLES,20260709,1
60300509-LABORABLES,20260710,1
60300509-LABORABLES,20260713,1
60300509-LABORABLES,20260714,1
60300509-LABORABLES,20260715,1
60300509-LABORABLES,20260716,1
60300509-LABORABLES,20260717,1
60300509-LABORABLES,20260720,1
60300509-LABORABLES,20260721,1
60300509-LABORABLES,20260722,1
62300072-LABORABLES,20260622,1
62300072-LABORABLES,20260623,1
62300072-LABORABLES,20260625,1
62300072-LABORABLES,20260626,1
62300072-LABORABLES,20260629,1
62300072-LABORABLES,20260630,1
62300072-LABORABLES,20260701,1
62300072-LABORABLES,20260702,1
62300072-LABORABLES,20260703,1
62300072-LABORABLES,20260706,1
62300072-LABORABLES,20260707,1
62300072-LABORABLES,20260708,1
62300072-LABORABLES,20260709,1
62300072-LABORABLES,20260710,1
62300072-LABORABLES,20260713,1
62300072-LABORABLES,20260714,1
62300072-LABORABLES,20260715,1
62300072-LABORABLES,20260716,1
62300072-LABORABLES,20260717,1
62300072-LABORABLES,20260720,1
62300072-LABORABLES,20260721,1
62300072-LABORABLES,20260722,1
62700688-FEINERS,20260622,1
62700688-FEINERS,20260623,1
62700688-FEINERS,20260625,1
62700688-FEINERS,20260626,1
62700688-FEINERS,20260629,1
62700688-FEINERS,20260630,1
62700688-FEINERS,20260701,1
62700688-FEINERS,20260702,1
62700688-FEINERS,20260703,1
62700688-FEINERS,20260706,1
62700688-FEINERS,20260707,1
62700688-FEINERS,20260708,1
62700688-FEINERS,20260709,1
62700688-FEINERS,20260710,1
62700688-FEINERS,20260713,1
62700688-FEINERS,20260714,1
62700688-FEINERS,20260715,1
62700688-FEINERS,20260716,1
62700688-FEINERS,20260717,1
62700688-FEINERS,20260720,1
62700688-FEINERS,20260721,1
62700688-FEINERS,20260722,1
6400360-DISSABTES,20260627,1
6400360-DISSABTES,20260704,1
6400360-DISSABTES,20260711,1
6400360-DISSABTES,20260718,1
6400360-FEI EXC VAC,20260622,1
6400360-FEI EXC VAC,20260623,1
6400360-FEI EXC VAC,20260625,1
6400360-FEI EXC VAC,20260626,1
6400360-FEI EXC VAC,20260629,1
6400360-FEI EXC VAC,20260630,1
6400360-FEI EXC VAC,20260701,1
6400360-FEI EXC VAC,20260702,1
6400360-FEI EXC VAC,20260703,1
6400360-FEI EXC VAC,20260706,1
