stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
18066,886,LA RIERA (CAN BENET),,41.52517,2.39374,,,0,,,
18200,7008,"C. CAMP DE MAR, 1",,41.49405,2.37373,,,0,,,
18201,7009,GRAN VIA  /AV. TORRENT CASTELLS (LA SALLE),,41.489023,2.349565,,,0,,,
18202,7010,GRAN VIA DE LLUÍS COMPANYS/PLAÇA DE SANTA ROSA,,41.48999,2.35186,,,0,,,
18203,7011,C. DE LA MERCÈ (CAP),,41.49429,2.35348,,,0,,,
18204,7012,GRAN VIA DE LLUÍS COMPANYS/C. DE LA PLAÇA,,41.49174,2.356,,,0,,,
18205,7013,CTRA. DE VILASSAR DE DALT/C. D´ENRIC GRANADOS,,41.49536,2.36066,,,0,,,
18206,7014,SANTIAGO RUSIÑOL / ROSELLÓ (BIBLIOTECA),,41.496472,2.3615,,,0,,,
18208,7015,C. DELS BATLLES/C. DE SANTIAGO RUSIÑOL,,41.49354,2.36574,,,0,,,
18209,7016,C. RAFAEL CASANOVA/C. CAN POU (INSTITUTS),,41.49501,2.3707,,,0,,,
18213,2278,PASSEIG DE LA RIERA / TORRENT DEL MOLÍ,,41.50701,2.31656,,,0,,,
18214,2356,PG. DE LA RIERA / C. EMPORDÀ,,41.50523,2.31723,,,0,,,
19946,9443,RBLA. DE GUIPÚSCOA/PTGE. JOSEP MULA (METRO LA PAU),,41.423332,2.206609,,,0,,,
21173,7721,PLAÇA DR. FERRAN / TORRENT DE LA FONT SANA,,41.495311,2.363853,,,0,,,
21174,7722,GRAN VIA DE LES CORTS CATALANES / PG. DE GRÀCIA,,41.390291,2.169574,,,0,,,
21628,7723,AV. MARQUÈS DE MONT-ROIG/ANTONI BORI (METRO GORG),,41.440984,2.234463,,,0,,,
21630,7725,AV. D´ALFONS XIII / C. DE PAU CLARIS,,41.441054,2.231208,,,0,,,
21640,5774,CENTRE DISMINUÏTS PSÍQUICS,,41.475431,2.238312,,,0,,,
21642,5122,HOSPITAL CAN RUTI,,41.48277357159457,2.238836681228653,,,0,,,
21643,5776,INSTITUT GUTTMAN,,41.476203,2.238747,,,0,,,
21644,5777,AV PRESIDENT COMPANYS/ PL MEDICINA (CAP DR ROBERT),,41.454673,2.24786,,,0,,,
21645,7110,GERMÀ JULI / PRIM,,41.453421,2.249642,,,0,,,
21646,5778,AV. PRESIDENT COMPANYS / GERMÀ JULI,,41.453971,2.248324,,,0,,,
21707,7471,CAMÍ DE LA GEGANTA (PARC CENTRAL),,41.54424,2.44079,,,0,,,
