route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
47,4700848-FEINERS,47000011462,MAT(CENTRE)-BCN,,0,,0047_0001,1
47,4700848-FEINERS,47000011461,MAT(CENTRE)-BCN,,0,,0047_0001,1
47,4700848-FEINERS,47000011460,MAT(CENTRE)-BCN,,0,,0047_0001,1
47,4700848-FEINERS,47000020439,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020438,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020437,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020436,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020435,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020434,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020433,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000011459,MAT(CENTRE)-BCN,,0,,0047_0001,1
47,4700848-FEINERS,47000020432,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000011458,MAT(CENTRE)-BCN,,0,,0047_0001,1
47,4700848-FEINERS,47000020431,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000011457,MAT(CENTRE)-BCN,,0,,0047_0001,1
47,4700848-FEINERS,47000020430,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000011456,MAT(CENTRE)-BCN,,0,,0047_0001,1
47,4700848-FEINERS,47000011455,MAT(CENTRE)-BCN,,0,,0047_0001,1
47,4700848-FEINERS,47000011454,MAT(CENTRE)-BCN,,0,,0047_0001,1
47,4700848-FEINERS,47000011453,MAT(CENTRE)-BCN,,0,,0047_0001,1
47,4700848-FEINERS,47000011452,MAT(CENTRE)-BCN,,0,,0047_0001,1
47,4700366-FESTIUS,47000040016,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-FESTIUS,47000040018,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-FESTIUS,47000020137,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700366-FESTIUS,47000020136,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700366-FESTIUS,47000020135,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700366-FESTIUS,47000020134,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700366-FESTIUS,47000020132,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700366-FESTIUS,47000020131,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700366-FESTIUS,47000020130,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700366-FESTIUS,47000020129,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020465,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020464,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020463,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020462,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020461,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020460,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020459,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700888-FEINERS,47000020458,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020457,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020456,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020455,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020454,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020453,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020452,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020451,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020450,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000011470,MAT(CENTRE)-BCN,,0,,0047_0001,1
47,4700366-FESTIUS,47000040015,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-FESTIUS,47000040017,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-FESTIUS,47000040019,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-FESTIUS,47000040020,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-FESTIUS,47000040021,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-FESTIUS,47000040022,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-FESTIUS,47000040023,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-FESTIUS,47000040024,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-FESTIUS,47000040026,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-FESTIUS,47000040027,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-FESTIUS,47000040025,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-SABADOS,47000020329,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700366-SABADOS,47000040036,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-SABADOS,47000040037,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-SABADOS,47000040038,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-SABADOS,47000040039,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-SABADOS,47000040040,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-SABADOS,47000040041,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-SABADOS,47000040042,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-SABADOS,47000040043,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-SABADOS,47000040044,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-SABADOS,47000040045,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-SABADOS,47000040046,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-SABADOS,47000040047,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-SABADOS,47000040048,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-SABADOS,47000040049,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-SABADOS,47000040050,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-SABADOS,47000040051,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-SABADOS,47000040052,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-SABADOS,47000040053,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700366-SABADOS,47000040054,MAT-BARNA(SAB-FEST),,0,,0047_0004,1
47,4700848-FEINERS,47000020500,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700366-FESTIUS,47000070006,BARNA-P.GR(SAB-FES),,1,,0047_0007,1
47,4700366-FESTIUS,47000070008,BARNA-P.GR(SAB-FES),,1,,0047_0007,1
