trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,timepoint
1909_0251,25:28:30,25:28:40,2126,8,4189.862,1
1909_0251,25:30:00,25:30:00,2125,9,4761.682,1
1909_0252,25:40:00,25:40:00,2125,1,0.0,1
1909_0252,25:41:00,25:41:10,2026,2,592.947,1
1909_0252,25:43:30,25:43:40,2027,3,1257.009,1
1909_0252,25:45:00,25:45:10,2028,4,1728.381,1
1909_0252,25:47:00,25:47:10,2013,5,2236.943,1
1909_0252,25:49:00,25:49:10,2014,6,2898.022,1
1909_0252,25:51:00,25:51:10,2016,7,3405.137,1
1909_0252,25:53:00,25:53:10,2017,8,4040.885,1
1909_0252,25:55:00,25:55:00,2019,9,4770.949,1
1909_0253,26:01:00,26:01:00,2019,1,0.0,1
1909_0253,26:03:00,26:03:10,2117,2,730.075,1
1909_0253,26:04:30,26:04:40,2116,3,1365.812,1
1909_0253,26:06:30,26:06:40,2114,4,1883.886,1
1909_0253,26:08:30,26:08:40,2113,5,2526.761,1
1909_0253,26:10:00,26:10:10,2128,6,3034.03,1
1909_0253,26:11:30,26:11:40,2127,7,3498.752,1
1909_0253,26:14:00,26:14:10,2126,8,4189.862,1
1909_0253,26:15:30,26:15:30,2125,9,4761.682,1
1909_0256,04:59:30,04:59:30,2019,1,0.0,1
1909_0256,05:01:30,05:01:40,2117,2,730.075,1
1909_0256,05:03:00,05:03:10,2116,3,1365.812,1
1909_0256,05:05:00,05:05:10,2114,4,1883.886,1
1909_0256,05:07:00,05:07:10,2113,5,2526.761,1
1909_0256,05:08:30,05:08:40,2128,6,3034.03,1
1909_0256,05:10:00,05:10:10,2127,7,3498.752,1
1909_0256,05:12:30,05:12:40,2126,8,4189.862,1
1909_0256,05:14:00,05:14:00,2125,9,4761.682,1
1909_0257,05:30:00,05:30:00,2125,1,0.0,1
1909_0257,05:31:00,05:31:10,2026,2,592.947,1
1909_0257,05:33:30,05:33:40,2027,3,1257.009,1
1909_0257,05:35:00,05:35:10,2028,4,1728.381,1
1909_0257,05:37:00,05:37:10,2013,5,2236.943,1
1909_0257,05:39:00,05:39:10,2014,6,2898.022,1
1909_0257,05:41:00,05:41:10,2016,7,3405.137,1
1909_0257,05:43:00,05:43:10,2017,8,4040.885,1
1909_0257,05:45:00,05:45:00,2019,9,4770.949,1
1909_0258,05:58:45,05:58:45,2019,1,0.0,1
1909_0258,06:00:45,06:00:55,2117,2,730.075,1
1909_0258,06:02:15,06:02:25,2116,3,1365.812,1
1909_0258,06:04:15,06:04:25,2114,4,1883.886,1
1909_0258,06:06:15,06:06:25,2113,5,2526.761,1
1909_0258,06:07:45,06:07:55,2128,6,3034.03,1
1909_0258,06:09:15,06:09:25,2127,7,3498.752,1
1909_0258,06:11:45,06:11:55,2126,8,4189.862,1
1909_0258,06:13:15,06:13:15,2125,9,4761.682,1
1909_0259,06:25:00,06:25:00,2125,1,0.0,1
1909_0259,06:26:00,06:26:10,2026,2,592.947,1
1909_0259,06:28:30,06:28:40,2027,3,1257.009,1
1909_0259,06:30:00,06:30:10,2028,4,1728.381,1
1909_0259,06:32:00,06:32:10,2013,5,2236.943,1
1909_0259,06:34:00,06:34:10,2014,6,2898.022,1
1909_0259,06:36:00,06:36:10,2016,7,3405.137,1
1909_0259,06:38:00,06:38:10,2017,8,4040.885,1
1909_0259,06:40:00,06:40:00,2019,9,4770.949,1
1909_0260,06:46:45,06:46:45,2019,1,0.0,1
1909_0260,06:48:45,06:48:55,2117,2,730.075,1
1909_0260,06:50:15,06:50:25,2116,3,1365.812,1
1909_0260,06:52:15,06:52:25,2114,4,1883.886,1
1909_0260,06:54:15,06:54:25,2113,5,2526.761,1
1909_0260,06:55:45,06:55:55,2128,6,3034.03,1
1909_0260,06:57:15,06:57:25,2127,7,3498.752,1
1909_0260,06:59:45,06:59:55,2126,8,4189.862,1
1909_0260,07:01:15,07:01:15,2125,9,4761.682,1
1909_0261,07:09:45,07:09:45,2125,1,0.0,1
1909_0261,07:10:45,07:10:55,2026,2,592.947,1
1909_0261,07:13:15,07:13:25,2027,3,1257.009,1
1909_0261,07:14:45,07:14:55,2028,4,1728.381,1
1909_0261,07:16:45,07:16:55,2013,5,2236.943,1
1909_0261,07:18:45,07:18:55,2014,6,2898.022,1
1909_0261,07:20:45,07:20:55,2016,7,3405.137,1
1909_0261,07:22:45,07:22:55,2017,8,4040.885,1
1909_0261,07:24:45,07:24:45,2019,9,4770.949,1
1909_0262,07:32:20,07:32:20,2019,1,0.0,1
1909_0262,07:34:20,07:34:30,2117,2,730.075,1
1909_0262,07:35:50,07:36:00,2116,3,1365.812,1
1909_0262,07:37:50,07:38:00,2114,4,1883.886,1
1909_0262,07:39:50,07:40:00,2113,5,2526.761,1
1909_0262,07:41:20,07:41:30,2128,6,3034.03,1
1909_0262,07:42:50,07:43:00,2127,7,3498.752,1
1909_0262,07:45:20,07:45:30,2126,8,4189.862,1
1909_0262,07:46:50,07:46:50,2125,9,4761.682,1
1909_0263,07:52:20,07:52:20,2125,1,0.0,1
1909_0263,07:53:20,07:53:30,2026,2,592.947,1
1909_0263,07:55:50,07:56:00,2027,3,1257.009,1
1909_0263,07:57:20,07:57:30,2028,4,1728.381,1
1909_0263,07:59:20,07:59:30,2013,5,2236.943,1
1909_0263,08:01:20,08:01:30,2014,6,2898.022,1
1909_0263,08:03:20,08:03:30,2016,7,3405.137,1
1909_0263,08:05:20,08:05:30,2017,8,4040.885,1
1909_0263,08:07:20,08:07:20,2019,9,4770.949,1
1909_0264,08:14:50,08:14:50,2019,1,0.0,1
1909_0264,08:16:50,08:17:00,2117,2,730.075,1
1909_0264,08:18:20,08:18:30,2116,3,1365.812,1
1909_0264,08:20:20,08:20:30,2114,4,1883.886,1
1909_0264,08:22:20,08:22:30,2113,5,2526.761,1
1909_0264,08:23:50,08:24:00,2128,6,3034.03,1
1909_0264,08:25:20,08:25:30,2127,7,3498.752,1
1909_0264,08:27:50,08:28:00,2126,8,4189.862,1
1909_0264,08:29:20,08:29:20,2125,9,4761.682,1
1909_0265,08:34:20,08:34:20,2125,1,0.0,1
1909_0265,08:35:20,08:35:30,2026,2,592.947,1
1909_0265,08:37:50,08:38:00,2027,3,1257.009,1
1909_0265,08:39:20,08:39:30,2028,4,1728.381,1
1909_0265,08:41:20,08:41:30,2013,5,2236.943,1
1909_0265,08:43:20,08:43:30,2014,6,2898.022,1
1909_0265,08:45:20,08:45:30,2016,7,3405.137,1
1909_0265,08:47:20,08:47:30,2017,8,4040.885,1
1909_0265,08:49:20,08:49:20,2019,9,4770.949,1
1909_0266,09:12:00,09:12:00,2019,1,0.0,1
1909_0266,09:14:00,09:14:10,2117,2,730.075,1
1909_0266,09:15:30,09:15:40,2116,3,1365.812,1
1909_0266,09:17:30,09:17:40,2114,4,1883.886,1
1909_0266,09:19:30,09:19:40,2113,5,2526.761,1
1909_0266,09:21:00,09:21:10,2128,6,3034.03,1
1909_0266,09:22:30,09:22:40,2127,7,3498.752,1
1909_0266,09:25:00,09:25:10,2126,8,4189.862,1
1909_0266,09:26:30,09:26:30,2125,9,4761.682,1
1909_0267,09:38:00,09:38:00,2125,1,0.0,1
1909_0267,09:39:00,09:39:10,2026,2,592.947,1
1909_0267,09:41:30,09:41:40,2027,3,1257.009,1
1909_0267,09:43:00,09:43:10,2028,4,1728.381,1
1909_0267,09:45:30,09:45:40,2111,5,2105.376,1
1909_0267,09:48:00,09:48:10,2029,6,2777.129,1
1909_0267,09:50:00,09:50:00,2130,7,3449.903,1
1909_0268,10:02:00,10:02:00,2130,1,0.0,1
1909_0268,10:03:30,10:03:40,2129,2,672.418,1
1909_0268,10:06:00,10:06:10,2011,3,1328.24,1
1909_0268,10:08:00,10:08:10,2128,4,1716.92,1
1909_0268,10:09:30,10:09:40,2127,5,2181.642,1
1909_0268,10:12:00,10:12:10,2126,6,2872.752,1
1909_0268,10:13:30,10:13:30,2125,7,3444.572,1
1909_0269,10:20:05,10:20:05,2125,1,0.0,1
1909_0269,10:21:05,10:21:15,2026,2,592.947,1
1909_0269,10:23:35,10:23:45,2027,3,1257.009,1
1909_0269,10:25:05,10:25:15,2028,4,1728.381,1
1909_0269,10:27:05,10:27:15,2013,5,2236.943,1
1909_0269,10:29:05,10:29:15,2014,6,2898.022,1
1909_0269,10:31:05,10:31:15,2016,7,3405.137,1
1909_0269,10:33:05,10:33:15,2017,8,4040.885,1
1909_0269,10:35:05,10:35:05,2019,9,4770.949,1
1909_0270,10:45:30,10:45:30,2019,1,0.0,1
1909_0270,10:47:30,10:47:40,2117,2,730.075,1
1909_0270,10:49:00,10:49:10,2116,3,1365.812,1
1909_0270,10:51:00,10:51:10,2114,4,1883.886,1
1909_0270,10:53:00,10:53:10,2113,5,2526.761,1
1909_0270,10:54:30,10:54:40,2128,6,3034.03,1
1909_0270,10:56:00,10:56:10,2127,7,3498.752,1
1909_0270,10:58:30,10:58:40,2126,8,4189.862,1
1909_0270,11:00:00,11:00:00,2125,9,4761.682,1
1909_0271,11:05:00,11:05:00,2125,1,0.0,1
1909_0271,11:06:00,11:06:10,2026,2,592.947,1
1909_0271,11:08:30,11:08:40,2027,3,1257.009,1
1909_0271,11:10:00,11:10:10,2028,4,1728.381,1
1909_0271,11:12:30,11:12:40,2111,5,2105.376,1
1909_0271,11:15:00,11:15:10,2029,6,2777.129,1
1909_0271,11:17:00,11:17:00,2130,7,3449.903,1
